Year,Units,Доходы бюджета,Value
2010,процент,,13.449512659178328
2010,процент,Корпоративный подоходный налог,3.8377888812609853
2010,процент,Индивидуальный подоходный налог,1.4316952915019159
2010,процент,Социальный налог,1.1635292108928705
2010,процент,Hалоги на имущество,0.4946815734923908
2010,процент,Земельный налог,0.06173176389172899
2010,процент,Hалог на транспортные средства,0.12038119068413553
2010,процент,Единый земельный налог,0.0034913188355792804
2010,процент,Налог на добавленную стоимость,3.1043455402280857
2010,процент,Поступления за использование природных и других ресурсов,1.0601296880940296
2010,процент,Сборы за регистрацию,0.04460621573442427
2010,процент,Налог на игорный бизнес,0.02432808233332265
2010,процент,Налоги на международную торговлю и внешние операции,1.7134574960272542
2010,процент,Акцизы,0.2815570126346307
2010,процент,Государственная пошлина,0.10776394757043804
2011,процент,,14.100239082000861
2011,процент,Корпоративный подоходный налог,3.7190740772005846
2011,процент,Индивидуальный подоходный налог,1.332168582708129
2011,процент,Социальный налог,1.051030432647247
2011,процент,Hалоги на имущество,0.41567319799428054
2011,процент,Земельный налог,0.04594860947981023
2011,процент,Hалог на транспортные средства,0.1061326203456045
2011,процент,Единый земельный налог,0.002897247519210273
2011,процент,Налог на добавленную стоимость,3.0634533178716903
2011,процент,Поступления за использование природных и других ресурсов,1.0552649442112183
2011,процент,Сборы за регистрацию,0.04232255194000328
2011,процент,Налог на игорный бизнес,0.020914291928860792
2011,процент,Налоги на международную торговлю и внешние операции,2.881380644787028
2011,процент,Акцизы,0.2705089343968119
2011,процент,Государственная пошлина,0.09345543873626663
2012,процент,,13.204390372567032
2012,процент,Корпоративный подоходный налог,3.3571193631838407
2012,процент,Индивидуальный подоходный налог,1.413816541289808
2012,процент,Социальный налог,1.0994513438007174
2012,процент,Hалоги на имущество,0.41104070927562947
2012,процент,Земельный налог,0.042039280134461614
2012,процент,Hалог на транспортные средства,0.09982466065221093
2012,процент,Единый земельный налог,0.002644647582742578
2012,процент,Налог на добавленную стоимость,2.9481068453478207
2012,процент,Поступления за использование природных и других ресурсов,0.9799327415092837
2012,процент,Сборы за регистрацию,0.04475355730730957
2012,процент,Налог на игорный бизнес,0.020778946429746772
2012,процент,Налоги на международную торговлю и внешние операции,2.400255789532796
2012,процент,Акцизы,0.3003147504751753
2012,процент,Государственная пошлина,0.08430167128383487
2013,процент,,13.275371720225834
2013,процент,Корпоративный подоходный налог,2.868790457735201
2013,процент,Индивидуальный подоходный налог,1.369456686542603
2013,процент,Социальный налог,1.056909377163383
2013,процент,Hалоги на имущество,0.3956888742823205
2013,процент,Земельный налог,0.03930675757410997
2013,процент,Hалог на транспортные средства,0.1000840833936917
2013,процент,Единый земельный налог,0.002305449331459812
2013,процент,Налог на добавленную стоимость,3.688015307209528
2013,процент,Поступления за использование природных и других ресурсов,0.8679243325481056
2013,процент,Сборы за регистрацию,0.04323027046362986
2013,процент,Налог на игорный бизнес,0.0214859003084503
2013,процент,Налоги на международную торговлю и внешние операции,2.4446475014841442
2013,процент,Акцизы,0.28792726222605397
2013,процент,Государственная пошлина,0.0893120242503456
2014,процент,,129
2014,процент,Корпоративный подоходный налог,2.948058606384543
