Year,Units,Возраст,Местность,Регионы,Value
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,,0.044364509457182476
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Акмолинская,0.1219586560156107
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Актюбинская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Алматинская,0.04647056089967006
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Атырауская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Западно-Казахстанская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Жамбылская,0.02418379685610641
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Карагандинская,0.07157513002815288
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Костанайская,0.11716232840600652
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Кызылординская,0.03258390355164549
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Мангистауская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Южно-Казахстанская,0.008484066922319882
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Павлодарская,0.09388349058818007
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Северо-Казахстанская,0.057520851308599366
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,Восточно-Казахстанская,0.07491852610286315
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,г_Нур-Султан,0.11965300628178284
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,,г_Алматы,0.05917947655752985
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,,0.06078265263093913
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Акмолинская,0.29804778699518153
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Актюбинская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Алматинская,0.20984890878567433
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Атырауская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Западно-Казахстанская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Жамбылская,0.06430454633142563
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Карагандинская,0.09907693323865982
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Костанайская,0.27879745364992337
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Кызылординская,0.08592172530824418
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Мангистауская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Южно-Казахстанская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Павлодарская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Северо-Казахстанская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,Восточно-Казахстанская,0.10091071924115139
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,г_Нур-Султан,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,город,г_Алматы,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,село,,0.029971976202250897
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,село,Акмолинская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,село,Актюбинская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,село,Алматинская,0.0
2010,на 1 000 женщин,в возрасте от 10 до -14 лет,село,Атырауская,0.0
