Year,Units,По уровню образования,Регионы,Value
2012,процент,в дошкольных учреждениях,,95.9
2012,процент,в дошкольных учреждениях,Акмолинская,96.47513278609368
2012,процент,в дошкольных учреждениях,Актюбинская,95.22347321733197
2012,процент,в дошкольных учреждениях,Алматинская,90.35001635590449
2012,процент,в дошкольных учреждениях,Атырауская,94.23604757548033
2012,процент,в дошкольных учреждениях,Западно-Казахстанская,94.43736730360935
2012,процент,в дошкольных учреждениях,Жамбылская,95.58349451966474
2012,процент,в дошкольных учреждениях,Карагандинская,97.95511221945137
2012,процент,в дошкольных учреждениях,Костанайская,96.99453551912568
2012,процент,в дошкольных учреждениях,Кызылординская,91.32290184921764
2012,процент,в дошкольных учреждениях,Мангистауская,92.20956719817768
2012,процент,в дошкольных учреждениях,Южно-Казахстанская,96.68207778079957
2012,процент,в дошкольных учреждениях,Павлодарская,99.2030602486452
2012,процент,в дошкольных учреждениях,Северо-Казахстанская,99.57446808510639
2012,процент,в дошкольных учреждениях,Восточно-Казахстанская,96.9377675337504
2012,процент,в дошкольных учреждениях,г_Нур-Султан,95.9767545820295
2012,процент,в дошкольных учреждениях,г_Алматы,98.99168137131333
2013,процент,в дошкольных учреждениях,,99.4
2013,процент,в дошкольных учреждениях,Акмолинская,97.44739565367368
2013,процент,в дошкольных учреждениях,Актюбинская,98.86104783599089
2013,процент,в дошкольных учреждениях,Алматинская,98.10355849137012
2013,процент,в дошкольных учреждениях,Атырауская,100.0
2013,процент,в дошкольных учреждениях,Западно-Казахстанская,100.0
2013,процент,в дошкольных учреждениях,Жамбылская,99.9133636560537
2013,процент,в дошкольных учреждениях,Карагандинская,99.67139042924626
2013,процент,в дошкольных учреждениях,Костанайская,97.84366576819407
2013,процент,в дошкольных учреждениях,Кызылординская,100.0
2013,процент,в дошкольных учреждениях,Мангистауская,98.34765366820886
2013,процент,в дошкольных учреждениях,Южно-Казахстанская,99.5372249736137
2013,процент,в дошкольных учреждениях,Павлодарская,100.0
2013,процент,в дошкольных учреждениях,Северо-Казахстанская,99.76896418944936
2013,процент,в дошкольных учреждениях,Восточно-Казахстанская,99.64774140074596
2013,процент,в дошкольных учреждениях,г_Нур-Султан,100.0
2013,процент,в дошкольных учреждениях,г_Алматы,100.0
2014,процент,в дошкольных учреждениях,,98.7
2014,процент,в дошкольных учреждениях,Акмолинская,96.29283489096572
2014,процент,в дошкольных учреждениях,Актюбинская,99.54264191552326
2014,процент,в дошкольных учреждениях,Алматинская,98.20426487093154
2014,процент,в дошкольных учреждениях,Атырауская,99.68793342579751
2014,процент,в дошкольных учреждениях,Западно-Казахстанская,100.0
2014,процент,в дошкольных учреждениях,Жамбылская,99.80574980574981
2014,процент,в дошкольных учреждениях,Карагандинская,98.84359074872599
2014,процент,в дошкольных учреждениях,Костанайская,96.10726643598616
2014,процент,в дошкольных учреждениях,Кызылординская,100.0
2014,процент,в дошкольных учреждениях,Мангистауская,92.8436911487759
2014,процент,в дошкольных учреждениях,Южно-Казахстанская,99.51633207447162
2014,процент,в дошкольных учреждениях,Павлодарская,99.80793854033291
2014,процент,в дошкольных учреждениях,Северо-Казахстанская,99.87442444537463
2014,процент,в дошкольных учреждениях,Восточно-Казахстанская,99.56248811108998
2014,процент,в дошкольных учреждениях,г_Нур-Султан,100.0
2014,процент,в дошкольных учреждениях,г_Алматы,96.20395327942498
2015,процент,в дошкольных учреждениях,,99.3
2015,процент,в дошкольных учреждениях,Акмолинская,98.89534883720931
2015,процент,в дошкольных учреждениях,Актюбинская,99.87565282268093
2015,процент,в дошкольных учреждениях,Алматинская,98.27365728900256
2015,процент,в дошкольных учреждениях,Атырауская,99.93508601103538
2015,процент,в дошкольных учреждениях,Западно-Казахстанская,100.0
2015,процент,в дошкольных учреждениях,Жамбылская,99.82366425674483
2015,процент,в дошкольных учреждениях,Карагандинская,99.87191216834401
2015,процент,в дошкольных учреждениях,Костанайская,98.63128491620111
2015,процент,в дошкольных учреждениях,Кызылординская,100.0
2015,процент,в дошкольных учреждениях,Мангистауская,96.22969837587007
2015,процент,в дошкольных учреждениях,Южно-Казахстанская,99.72443539208051
2015,процент,в дошкольных учреждениях,Павлодарская,100.0
2015,процент,в дошкольных учреждениях,Северо-Казахстанская,99.75688816855754
2015,процент,в дошкольных учреждениях,Восточно-Казахстанская,97.26755914175683
2015,процент,в дошкольных учреждениях,г_Нур-Султан,100.0
2015,процент,в дошкольных учреждениях,г_Алматы,100.0
2016,процент,в дошкольных учреждениях,,97.0
2016,процент,в дошкольных учреждениях,Акмолинская,99.18292040063258
2016,процент,в дошкольных учреждениях,Актюбинская,96.51019906610962
2016,процент,в дошкольных учреждениях,Алматинская,94.75014037057832
2016,процент,в дошкольных учреждениях,Атырауская,95.1338199513382
2016,процент,в дошкольных учреждениях,Западно-Казахстанская,98.34446703456288
2016,процент,в дошкольных учреждениях,Жамбылская,95.93926553672316
2016,процент,в дошкольных учреждениях,Карагандинская,98.94218493525442
2016,процент,в дошкольных учреждениях,Костанайская,97.4097547533756
2016,процент,в дошкольных учреждениях,Кызылординская,97.51927589674824
2016,процент,в дошкольных учреждениях,Мангистауская,90.44927945747386
2016,процент,в дошкольных учреждениях,Южно-Казахстанская,97.02285714285715
2016,процент,в дошкольных учреждениях,Павлодарская,100.0
2016,процент,в дошкольных учреждениях,Северо-Казахстанская,98.43180160466812
2016,процент,в дошкольных учреждениях,Восточно-Казахстанская,98.77145438121048
2016,процент,в дошкольных учреждениях,г_Нур-Султан,97.5470621791215
2016,процент,в дошкольных учреждениях,г_Алматы,96.48993164603732
2016,процент,в начальной школе (1-4 кл.),,100.0
2016,процент,в основной средней школе (5-11 кл.),,100.0
2017,процент,в дошкольных учреждениях,,98.4
2017,процент,в дошкольных учреждениях,Акмолинская,99.97400571874188
2017,процент,в дошкольных учреждениях,Актюбинская,95.59863169897378
2017,процент,в дошкольных учреждениях,Алматинская,96.97042848521424
2017,процент,в дошкольных учреждениях,Атырауская,98.74315178859169
2017,процент,в дошкольных учреждениях,Западно-Казахстанская,98.61916597624966
2017,процент,в дошкольных учреждениях,Жамбылская,98.46333723066645
2017,процент,в дошкольных учреждениях,Карагандинская,99.34362249423452
2017,процент,в дошкольных учреждениях,Костанайская,98.5687781606149
2017,процент,в дошкольных учреждениях,Кызылординская,99.52365830422356
2017,процент,в дошкольных учреждениях,Мангистауская,96.15595826468973
2017,процент,в дошкольных учреждениях,Южно-Казахстанская,97.66528817463225
2017,процент,в дошкольных учреждениях,Павлодарская,100.0
2017,процент,в дошкольных учреждениях,Северо-Казахстанская,98.88849049838652
2017,процент,в дошкольных учреждениях,Восточно-Казахстанская,99.72003499562555
2017,процент,в дошкольных учреждениях,г_Нур-Султан,99.87110079917505
2017,процент,в дошкольных учреждениях,г_Алматы,98.74853996329051
2017,процент,в начальной школе (1-4 кл.),,100.0
2017,процент,в основной средней школе (5-11 кл.),,100.0
2018,процент,в дошкольных учреждениях,,98.3
2018,процент,в дошкольных учреждениях,Акмолинская,100.0
2018,процент,в дошкольных учреждениях,Актюбинская,99.5162404975812
2018,процент,в дошкольных учреждениях,Алматинская,96.50904845300641
2018,процент,в дошкольных учреждениях,Атырауская,99.16253101736973
2018,процент,в дошкольных учреждениях,Западно-Казахстанская,100.0
2018,процент,в дошкольных учреждениях,Жамбылская,97.84304726938963
2018,процент,в дошкольных учреждениях,Карагандинская,98.91229281767956
2018,процент,в дошкольных учреждениях,Костанайская,98.46072186836517
2018,процент,в дошкольных учреждениях,Кызылординская,98.67077322094343
2018,процент,в дошкольных учреждениях,Мангистауская,97.31508291655699
2018,процент,в дошкольных учреждениях,Павлодарская,100.0
2018,процент,в дошкольных учреждениях,Северо-Казахстанская,98.92665474060823
2018,процент,в дошкольных учреждениях,Туркестанская,96.74010636093652
2018,процент,в дошкольных учреждениях,Восточно-Казахстанская,99.09847434119278
