Indicator,Disaggregations,Number of disaggregations
1-1-1,"Units, Доход, Пол, Местность, Регионы, GeoCode",6
1-2-1,"Units, Местность, Пол, Регионы, GeoCode",5
1-3-1,"Units, Социальные пособия, Пенсионные выплаты",3
1-4-2,"Units, Регионы, Пол, GeoCode",4
1-5-1,"Units, Жертвы чрезвычайных ситуаций, Регионы, Пол",4
1-5-2,"Units, сумма ущерба от ЧС, Регионы, GeoCode",4
1-5-4,"Units, Регионы, GeoCode",3
1-a-1,Units,1
1-a-2,Units,1
10-1-1,"Units, темп роста доходов и расходов",2
10-3-1,Units,1
10-4-1,Units,1
10-5-1-1,Units,1
10-5-1,"Units, Расходы бюджета",2
10-7-2,Units,1
10-a-1,Units,1
10-b-1,"Units, Официальная помощь для развития",2
11-1-1,"Units, Регионы, GeoCode",3
11-2-1-1,"Units, Регионы, GeoCode",3
11-3-1,"Units, Местность, Регионы, GeoCode",4
11-3-2,Units,1
11-4-1,Units,1
11-6-1-1,"Units, экология",2
11-6-1-2,"Units, экология",2
11-6-1,Units,1
11-6-2,"Units, Вид частиц РМ, Регионы, Город, GeoCode",5
11-a-1,Units,1
11-b-2,"Units, Регионы, GeoCode",3
12-4-1,"Units, Выполнение обязательств",2
12-4-2,Units,1
12-5-1-1,Units,1
12-5-1,Units,1
14-5-1,Units,1
14-7-1,"Units, Регионы, GeoCode",3
15-1-1,"Units, Регионы, GeoCode",3
15-1-2,Units,1
15-2-1-1,"Units, Регионы, GeoCode",3
15-2-1,"Units, Регионы, GeoCode",3
15-3-1,"Units, Регионы, GeoCode",3
15-4-1,"Units, Регионы, GeoCode",3
15-4-2,"Units, Регионы, GeoCode",3
15-5-1,"Units, Охраняемые виды",2
15-7-1,"Units, Охраняемые виды",2
15-a-1,"Units, Официальная помощь для развития",2
15-b-1,Units,1
15-c-1,"Units, Охраняемые виды",2
16-1-1,Units,1
16-1-2,Units,1
16-1-4,"Units, Степень безопасности, Местность, Пол, национальность, Возраст",6
16-2-1,"Units, Местность, Пол, Возраст, Регионы",5
16-2-2,Units,1
16-3-2-1,Units,1
16-3-2,"Units, преступления",2
16-4-2,Units,1
16-5-1,Units,1
16-5-2-1,Units,1
16-5-2,Units,1
16-6-1,"Units, Расходы бюджета",2
16-6-2-1,Units,1
16-6-2,Units,1
16-9-1,Units,1
17-1-1,"Units, Доходы бюджета",2
17-1-2,"Units, Доходы бюджета",2
17-10-1,Units,1
17-11-1,Units,1
17-12-1,"Units, Страны",2
17-19-2,Units,1
17-2-1,"Units, Официальная помощь для развития",2
17-3-1-1,Units,1
17-3-1-2,"Units, Регионы, GeoCode",3
17-3-1,Units,1
17-3-2,Units,1
17-4-1,Units,1
17-6-1,Units,1
17-6-2,"Units, Скорость интернета, Регионы, GeoCode",4
17-8-1,"Units, Местность, Пол, Регионы, GeoCode",5
17-9-1,Units,1
2-1-1,"Units, Местность",2
2-1-2,"Units, Продовольственная безопасность",2
2-2-1,"Units, Степень отклонения, Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение), Пол, Местность, Регионы, Возраст, образование матери, квинтиль индекса благосостояния, национальность главы домохозяйства",10
2-2-2,"Units, Степень отклонения, Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение), Пол, Местность, Регионы, Возраст, образование матери, квинтиль индекса благосостояния, национальность главы домохозяйства",10
2-3-1,"Units, Регионы, GeoCode",3
2-4-1-1,Units,1
2-4-1,Units,1
2-5-2,"Units, Охраняемые виды",2
2-a-1,Units,1
2-a-2,"Units, Официальная помощь для развития",2
2-c-1,Units,1
3-1-1,"Units, Регионы, GeoCode",3
3-1-2,"Units, Местность, Регионы",3
3-2-1,"Units, Пол, Регионы, Местность, GeoCode",5
3-2-2-1,"Units, Пол, Регионы, Местность, Образование, Брачное состояние, гражданство, GeoCode",8
3-2-2,"Units, Пол, Регионы, Местность, Образование, Брачное состояние, гражданство, GeoCode",8
3-3-1-1,Units,1
3-3-1,Units,1
3-3-2,"Units, Местность",2
3-3-4,Units,1
3-4-1,"Units, Пол",2
3-4-2,"Units, Регионы, Местность, Пол, Образование, Брачное состояние, гражданство, GeoCode",8
3-5-1,"Units, здравоохранение",2
3-6-1,"Units, Регионы, Местность, Пол, Образование, Брачное состояние, гражданство, GeoCode",8
3-7-1,"Units, Местность, Регионы, Возраст, Вид экономической деятельности, Образование, Квинтиль индекса благосостояния, GeoCode",8
3-7-2,"Units, Возраст, Регионы, Местность, Образование, Брачное состояние, гражданство, GeoCode",8
3-9-2,"Units, Регионы, Местность, Пол, Образование, Брачное состояние, гражданство, GeoCode",8
3-9-3,"Units, Регионы, Местность, Пол, Образование, Брачное состояние, гражданство, GeoCode",8
3-a-1,Units,1
3-b-1,"Охват иммунизацией, Units",2
3-b-2,"Units, Официальная помощь для развития",2
3-b-3,Units,1
3-c-1,"Units, здравоохранение",2
4-1-1,"Units, Пол, Доля детей/молодежи, достигших, по меньшей мере, минимального уровня, Регионы",4
4-2-1,"Units, Местность, Пол, Регионы, Возраст, Образование, Квинтиль индекса благосостояния, национальность, GeoCode",9
4-2-2-1,"Units, Местность, Пол, Регионы, Возраст, Образование, Квинтиль индекса благосостояния, национальность, GeoCode",9
4-2-2,"Units, Пол, Регионы",3
4-3-1-1,Units,1
4-3-1-2,"Units, Местность, Пол, Регионы",4
4-3-1-3,"Units, Местность, Пол, Регионы",4
4-4-1-1,"Units, Регионы",2
4-4-1,"Units, Возраст, Виды навыков, Регионы",4
4-5-1-1,"Units, Регионы",2
4-5-1-2,"Units, Регионы",2
4-5-1-3,"Units, Регионы",2
4-5-1-4,Units,1
4-5-1,"Units, Образование, Местность, Регионы, Квинтиль индекса благосостояния, национальность, GeoCode",7
4-7-1-1,Units,1
4-7-1-2,"Units, Регионы",2
4-7-1-3,Units,1
4-a-1,"Units, Обеспеченность школ, Местность, Регионы",4
4-b-1,"Units, Официальная помощь для развития",2
4-c-1,"Units, Регионы, Доля учителей в основной средней школе (5-9 кл.), имеющих педагогическое образование, Доля педагогических  работников организаций  среднего образования, прошедших повышение квалификации по обновленному содержанию от их общего количества",4
5-2-1-1,Units,1
5-2-1-2,Units,1
5-2-1,"Units, Возраст, Период времени, Вид насилия, Виды снижения зарегистированных фактов бытового насилия",5
5-2-2,"Units, Вид насилия",2
5-3-1-1,Units,1
5-3-1-2,Units,1
5-3-1,"Units, брачное состояние",2
5-4-1,"Units, Местность, Пол",3
5-5-1,"Units, Доля мест, занимаемых женщинами",2
5-5-2,"Units, Регионы, Местность, Возраст, GeoCode",5
5-a-1,"Units, Регионы, Местность, GeoCode",4
5-b-1,"Units, Местность, Пол, Регионы, GeoCode",5
6-1-1,"Units, Местность",2
6-2-1,"Units, Местность",2
6-3-1,Units,1
6-3-2,"Units, Регионы",2
6-4-1,"Units, Вид экономической деятельности",2
6-4-2,Units,1
6-5-2,Units,1
6-a-1,"Units, Официальная помощь для развития",2
6-b-1,Units,1
7-1-1,"Units, Регионы, GeoCode",3
7-1-2,Units,1
7-2-1,"Units, Вид экономической деятельности, Регионы, GeoCode",4
7-3-1,"Units, Регионы, GeoCode",3
7-b-1-1,Units,1
7-b-1,"Units, Вид собственности, Регионы, GeoCode",4
8-1-1,"Units, Регионы, GeoCode",3
8-10-1,Units,1
8-10-2,Units,1
8-2-1,"Units, Регионы, GeoCode",3
8-3-1,"Units, Регионы, Пол, Местность, Возраст, GeoCode",6
8-5-1,"Units, Регионы, Пол, Возраст, Вид экономической деятельности, GeoCode",6
8-5-2,"Units, Регионы, Пол, Местность, Возраст, GeoCode",6
8-6-1,"Units, Регионы, Пол, Местность, GeoCode",5
8-7-1,"Units, Регионы, Пол, Местность, GeoCode",5
8-8-1,"Units, Производственная травма",2
8-8-2,Units,1
8-9-1-1,Units,1
8-9-1,Units,1
8-a-1,"Units, Официальная помощь для развития",2
8-b-1,Units,1
9-1-2-1,"Units, Вид транспорта, Регионы, GeoCode",4
9-1-2,"Units, Вид транспорта, Регионы, GeoCode",4
9-2-1-1,"Units, Регионы, GeoCode",3
9-2-1-2,Units,1
9-2-1,"Units, Регионы, GeoCode",3
9-2-2,"Units, Регионы, Пол, Местность, Возраст, GeoCode",6
9-3-2,Units,1
9-5-1-1,Units,1
9-5-1,"Units, Регионы, GeoCode",3
9-5-2,"Units, Регионы, GeoCode",3
9-a-1,"Units, Официальная помощь для развития",2
9-b-1,Units,1
9-c-1,"Units, Показатель",2
