Value,kk,en,Number of instances
"Доля к ВВП, в процентах","ЖІӨ үлесіне, пайызбен",As as pecentage of GDP,15
"в долларах США, в ценах 2010 года","2010 жылғы бағаларда, АҚШ доллар",tenge per US dollars in 2010 prices,17
в процентах к 2005 году,2005 жылға пайызбен,в процентах к 2005 году,17
в процентах к предыдущему году,өткен жылға пайызбен,в процентах к предыдущему году,20
единиц,бірлік,units,11
кв.м.,шаршы метр,square meters,54
количество,саны,quantity,1
м³/тыс.тенге,м³/тыс.тенге,м³/тыс.тенге,4
мг/метр куб,мг/текше метр,mg per cube meters,81
млн.долл.США,млн.долл.США,млн.долл.США,18
млн.долларов США,млн.АҚШ доллар,millions of US dollars,20
млн.м3,млн.м3,млн.м3,15
млн.тенге,млн.теңге,million tenge,17
млн.тенге,млн.тенге,млн.тенге,1
млн.тонн,млн.тонна,millions tonnes,74
млн.человек,млн.адам,mln.people,76
"на 1 000 женщин
 в данной возрастной группе","на 1 000 женщин
 в данной возрастной группе","на 1 000 женщин
 в данной возрастной группе",108
на 100 000 населения,100 000 халыққа,per 100000 population,649
на 100 000 человек,100 000 адамға,per 100000 individuals,6
на 100 тыс.родившихся живыми,100 мың тірі туылғанға,per 100000 live births,19
на 1000 населения,1000 халыққа,per 1000 population,4
на 1000 неинфицированных,1000 жұқтырмағандарға,per 1000 non immunized,1
на 1000 работников,1000 қызметкерлерге,per 1000 workers,2
на 1000 родившихся,1000 туылғанға,per 1000 births,485
погибло на 100 000 человек,100 000 адамға қаза болғандар,killed per 100 000 people,1
пострадало на 100 000 человек,100 000 адамға жарақат алғандар,injured per 100 000 people,1
процент,пайыз,Percent,3623
"процент, в ценах 2010 года",2010 жылғы бағаларда пайызбен,"percent, base year 2010",19
процентах,процентах,процентах,1
тенге,теңге,tenge,232
тнэ на тыс.долл. США в ценах  2010 года,мбт 2010 жылғы мың АҚШ доллар бағасында,tenge per 1000 US dollars in 2010 prices,17
тонн,тонн,tons,14
тонн/год,тонн/год,тонн/год,1
тыс.га,тыс.га,тыс.га,41
тыс.гектар,мың.гектар,thousands hectares,1
тыс.единиц,мың бірлік,thousands,58
тыс.тенге,мың теңге,thousand of tenge,112
тыс.человек,мың.адам,thousand people,5
человек,адам,Number of individuals,116
число банкоматов на 100 000 взрослых,100 000 ересекке шаққандағы банкоматтар саны,number of ATMs per 100 000 adults,1
число филиалов коммерческих банков на 100 000 взрослых,100 000 ересекке шаққандағы коммерциялық банктер саны,the number of branches of commercial banks per 100 000 adults,1
