Value,Number of instances
Автомобильный,3
Внутренним водным,2
Водный,1
Воздушный,1
Воздушным,2
Городской электрический,2
Железнодорожный,1
Железнодорожным транспортом,2
Морским,2
Перевезено грузов всеми видами транспорта,19
Перевезено пассажиров всеми видами транспорта,40
Трубопроводный,1
перевезено грузов автомобильным  и городским  электрическим транспортом,38
перевезено грузов воздушным транспортом,2
перевезено пассажиров воздушным транспортом,24
показатели работы морского и прибрежного транспорта,4
показатели работы трубопроводного транспорта,8
