Value,Number of instances
без учета больших ГЭС,1
государственное управление и оборона; обязательное социальное обеспечение,3
деятельность в области администрированного и вспомогательного обслуживания,3
здравоохранение и социальные услуги,3
информация и связь,3
"искусство, развлечение и отдых",3
обрабатывающей промышленностью,1
образование,8
операции с недвижимым имуществом,3
оптовая и розничная торговля; ремонт автомобилей и мотоциклов,3
предоставление прочих видов услуг,3
предприятиями электроэнергетики,1
промышленность,3
прочими видами деятельности,1
с учетом больших ГЭС,1
"сельским хозяйством, лесным хозяйством и рыболовством",1
"сельское, лесное и рыбное хозяйство",3
строительство,3
техническая деятельность,3
транспорт и складирование,3
услуги по проживанию и питанию,3
финансовая и страховая деятельность,3
