Value,kk,en,Number of instances
,,,691
0-5 месяцев,0-5 месяцев,0-5 месяцев,2
1-2,1-2,1-2,1
10-14,10-14,10-14,1
12-17 месяцев,12-17 месяцев,12-17 месяцев,2
12-23 месяцев,12-23 месяцев,12-23 месяцев,2
15,15,15,23
15-19,15-19,15-19,4
16-24,16-24,16-24,95
18-23 месяцев,18-23 месяцев,18-23 месяцев,2
20-24,20-24,20-24,4
24-35 месяцев,24-35 месяцев,24-35 месяцев,2
25-28,25-28,25-28,95
25-29,25-29,25-29,4
29-34,29-34,29-34,95
3-4,3-4,3-4,1
30-34,30-34,30-34,4
35-39,35-39,35-39,4
35-44,35-44,35-44,95
36-47 месяцев,36-47 ай,36-47 months,3
40-44,40-44,40-44,4
45-49,45-49,45-49,4
45-54,45-54,45-54,95
48-59 месяцев,48-59 ай,48-59 months,3
5-9,5-9,5-9,1
50-54,50-54,50-54,3
55-59,55-59,55-59,3
55-64,55-64,55-64,95
6 лет,6 жас,6 years old,1
6-11 месяцев,6-11 месяцев,6-11 месяцев,2
60+,60+,60+,3
65 и старше,65 және одан үлкен,65 and older,71
7 лет и старше,7 жастан асқан,7 years old and above,1
в возрасте 15 лет и старше,15 жастан асқан және одан жоғары,Age 15 years and older,162
в возрасте 15-24 лет,15-24 жас аралығында,Age 15-24 years old,162
в возрасте от 10 до -14 лет,10 жастан 14 жасқа дейін,age: 10-14 years old,54
в возрасте от 15 до - 19 лет,в возрасте от 15 до - 19 лет,в возрасте от 15 до - 19 лет,54
женщины в возрасте 18-75 лет,18-75 жастағы әйелдер,Women: age 18-75 years old,6
