Year,Units,Государственные расходы,Value
2010,Percent,,12.879391290466547
2010,Percent,Education,15.032089223853678
2010,Percent,Health care,10.660044936937348
2010,Percent,Social assistance and welfare,17.38849914962006
2010,Percent,"Culture, sport, tourism, informational space",4.674086755666627
2011,Percent,,10.970942137064547
2011,Percent,Education,16.23256845259948
2011,Percent,Health care,9.975881694668443
2011,Percent,Social assistance and welfare,18.064847120379625
2011,Percent,"Culture, sport, tourism, informational space",3.8300772837431136
2012,Percent,,11.271790081687813
2012,Percent,Education,17.07888868536047
2012,Percent,Health care,10.319878786139665
2012,Percent,Social assistance and welfare,17.48680903801979
2012,Percent,"Culture, sport, tourism, informational space",3.3915565940129597
2013,Percent,,10.43330055387468
2013,Percent,Education,16.568206430718003
2013,Percent,Health care,10.647535033998695
2013,Percent,Social assistance and welfare,18.48133051393149
2013,Percent,"Culture, sport, tourism, informational space",3.463042162946373
2014,Percent,,10.152958581524668
2014,Percent,Education,15.424364985315778
2014,Percent,Health care,9.748240132586089
2014,Percent,Social assistance and welfare,17.791499894678328
2014,Percent,"Culture, sport, tourism, informational space",3.37623205254963
2015,Percent,,10.386638926724082
2015,Percent,Education,15.258626583138973
2015,Percent,Health care,9.656987925385259
2015,Percent,Social assistance and welfare,19.26925098648875
2015,Percent,"Culture, sport, tourism, informational space",3.2839218769063483
2016,Percent,,10.747463290098189
2016,Percent,Education,15.931042556063163
2016,Percent,Health care,9.895937099282245
2016,Percent,Social assistance and welfare,19.113938565429027
2016,Percent,"Culture, sport, tourism, informational space",3.1091632412556818
2017,Percent,,10.697367054408646
2017,Percent,Education,13.635310645432458
2017,Percent,Health care,8.343091441308449
2017,Percent,Social assistance and welfare,17.07748057738184
2017,Percent,"Culture, sport, tourism, informational space",2.946921260688909
2018,Percent,,10.760017273646314
2018,Percent,Education,15.860502347640647
2018,Percent,Health care,9.549610680038716
2018,Percent,Social assistance and welfare,22.41523862222382
2018,Percent,"Culture, sport, tourism, informational space",3.656790741491672
2019,Percent,,11.155350942031436
2019,Percent,Education,15.593223681390448
2019,Percent,Health care,8.637585927722133
2019,Percent,Social assistance and welfare,23.19304499666612
2019,Percent,"Culture, sport, tourism, informational space",3.0504011577207844
