Year,Units,Area,Regions,GeoCode,Value
2010,square meters,,,,18.4
2011,square meters,,,,18.7
2012,square meters,,,,19.6
2013,square meters,,,,20.9
2014,square meters,,,,21.0
2015,square meters,,,,21.0
2016,square meters,,,,21.4
2017,square meters,,,,21.6
2018,square meters,,,,21.8
2010,square meters,Urban,,,20.2
2011,square meters,Urban,,,20.6
2012,square meters,Urban,,,22.1
2013,square meters,Urban,,,23.7
2014,square meters,Urban,,,23.8
2015,square meters,Urban,,,23.5
2016,square meters,Urban,,,24.0
2017,square meters,Urban,,,24.1
2018,square meters,Urban,,,24.4
2010,square meters,Rural,,,16.5
2011,square meters,Rural,,,16.6
2012,square meters,Rural,,,16.8
2013,square meters,Rural,,,17.4
2014,square meters,Rural,,,17.6
2015,square meters,Rural,,,17.8
2016,square meters,Rural,,,18.0
2017,square meters,Rural,,,18.2
2018,square meters,Rural,,,18.4
2010,square meters,,Akmola,KZ03,19.5
2011,square meters,,Akmola,KZ03,19.6
2012,square meters,,Akmola,KZ03,20.2
2013,square meters,,Akmola,KZ03,21.4
2014,square meters,,Akmola,KZ03,21.6
2015,square meters,,Akmola,KZ03,21.6
2016,square meters,,Akmola,KZ03,21.8
2017,square meters,,Akmola,KZ03,22.0
2018,square meters,,Akmola,KZ03,22.2
2010,square meters,,Aktobe,KZ04,17.3
2011,square meters,,Aktobe,KZ04,18.2
2012,square meters,,Aktobe,KZ04,18.7
2013,square meters,,Aktobe,KZ04,20.1
2014,square meters,,Aktobe,KZ04,20.8
2015,square meters,,Aktobe,KZ04,21.3
2016,square meters,,Aktobe,KZ04,21.7
2017,square meters,,Aktobe,KZ04,22.0
2018,square meters,,Aktobe,KZ04,22.4
2010,square meters,,Almaty,KZ01,15.7
2011,square meters,,Almaty,KZ01,15.9
2012,square meters,,Almaty,KZ01,16.1
2013,square meters,,Almaty,KZ01,17.1
2014,square meters,,Almaty,KZ01,17.6
2015,square meters,,Almaty,KZ01,18.1
2016,square meters,,Almaty,KZ01,18.5
2017,square meters,,Almaty,KZ01,18.9
2018,square meters,,Almaty,KZ01,19.0
2010,square meters,,Atyrau,KZ06,16.5
2011,square meters,,Atyrau,KZ06,16.2
2012,square meters,,Atyrau,KZ06,19.6
2013,square meters,,Atyrau,KZ06,19.9
2014,square meters,,Atyrau,KZ06,20.0
2015,square meters,,Atyrau,KZ06,20.1
2016,square meters,,Atyrau,KZ06,20.6
2017,square meters,,Atyrau,KZ06,21.4
2018,square meters,,Atyrau,KZ06,21.8
2010,square meters,,Batys Kazakhstan,KZ07,17.0
2011,square meters,,Batys Kazakhstan,KZ07,17.4
2012,square meters,,Batys Kazakhstan,KZ07,18.4
2013,square meters,,Batys Kazakhstan,KZ07,19.1
2014,square meters,,Batys Kazakhstan,KZ07,19.5
2015,square meters,,Batys Kazakhstan,KZ07,19.8
2016,square meters,,Batys Kazakhstan,KZ07,20.2
2017,square meters,,Batys Kazakhstan,KZ07,20.6
2018,square meters,,Batys Kazakhstan,KZ07,20.8
2010,square meters,,Zhambyl,KZ17,15.7
2011,square meters,,Zhambyl,KZ17,16.0
2012,square meters,,Zhambyl,KZ17,15.7
2013,square meters,,Zhambyl,KZ17,15.6
2014,square meters,,Zhambyl,KZ17,15.9
2015,square meters,,Zhambyl,KZ17,16.1
2016,square meters,,Zhambyl,KZ17,16.3
2017,square meters,,Zhambyl,KZ17,16.6
2018,square meters,,Zhambyl,KZ17,16.8
2010,square meters,,Karagandy,KZ12,21.3
2011,square meters,,Karagandy,KZ12,21.3
2012,square meters,,Karagandy,KZ12,21.9
2013,square meters,,Karagandy,KZ12,22.4
2014,square meters,,Karagandy,KZ12,22.6
2015,square meters,,Karagandy,KZ12,22.7
2016,square meters,,Karagandy,KZ12,22.9
2017,square meters,,Karagandy,KZ12,23.0
2018,square meters,,Karagandy,KZ12,23.1
2010,square meters,,Kostanay,KZ13,19.8
2011,square meters,,Kostanay,KZ13,20.3
2012,square meters,,Kostanay,KZ13,20.9
2013,square meters,,Kostanay,KZ13,21.5
2014,square meters,,Kostanay,KZ13,21.9
2015,square meters,,Kostanay,KZ13,21.8
2016,square meters,,Kostanay,KZ13,21.8
2017,square meters,,Kostanay,KZ13,21.7
2018,square meters,,Kostanay,KZ13,21.7
2010,square meters,,Kyzylorda,KZ14,17.2
2011,square meters,,Kyzylorda,KZ14,17.9
2012,square meters,,Kyzylorda,KZ14,19.1
2013,square meters,,Kyzylorda,KZ14,19.5
2014,square meters,,Kyzylorda,KZ14,19.1
2015,square meters,,Kyzylorda,KZ14,19.3
2016,square meters,,Kyzylorda,KZ14,19.6
2017,square meters,,Kyzylorda,KZ14,19.9
2018,square meters,,Kyzylorda,KZ14,20.2
2010,square meters,,Mangistau,KZ09,16.0
2011,square meters,,Mangistau,KZ09,16.5
2012,square meters,,Mangistau,KZ09,17.5
2013,square meters,,Mangistau,KZ09,20.1
2014,square meters,,Mangistau,KZ09,20.9
2015,square meters,,Mangistau,KZ09,21.8
2016,square meters,,Mangistau,KZ09,22.4
2017,square meters,,Mangistau,KZ09,23.3
2018,square meters,,Mangistau,KZ09,23.9
2010,square meters,,Ontustik Kazakhstan,KZ10,17.7
2011,square meters,,Ontustik Kazakhstan,KZ10,17.6
2012,square meters,,Ontustik Kazakhstan,KZ10,19.1
2013,square meters,,Ontustik Kazakhstan,KZ10,20.7
2014,square meters,,Ontustik Kazakhstan,KZ10,20.3
2015,square meters,,Ontustik Kazakhstan,KZ10,18.9
2016,square meters,,Ontustik Kazakhstan,KZ10,19.4
2017,square meters,,Ontustik Kazakhstan,KZ10,19.7
2010,square meters,,Pavlodar,KZ11,20.9
2011,square meters,,Pavlodar,KZ11,21.4
2012,square meters,,Pavlodar,KZ11,21.6
2013,square meters,,Pavlodar,KZ11,22.6
2014,square meters,,Pavlodar,KZ11,22.8
2015,square meters,,Pavlodar,KZ11,21.9
2016,square meters,,Pavlodar,KZ11,21.9
2017,square meters,,Pavlodar,KZ11,22.0
2018,square meters,,Pavlodar,KZ11,22.1
2010,square meters,,Soltustik Kazakhstan,KZ16,19.8
2011,square meters,,Soltustik Kazakhstan,KZ16,19.9
2012,square meters,,Soltustik Kazakhstan,KZ16,20.2
2013,square meters,,Soltustik Kazakhstan,KZ16,20.7
2014,square meters,,Soltustik Kazakhstan,KZ16,20.9
2015,square meters,,Soltustik Kazakhstan,KZ16,20.8
2016,square meters,,Soltustik Kazakhstan,KZ16,21.0
2017,square meters,,Soltustik Kazakhstan,KZ16,21.0
2018,square meters,,Soltustik Kazakhstan,KZ16,21.2
2018,square meters,,Turkistan,KZ10,18.0
2010,square meters,,Shygys Kazakhstan,KZ15,19.0
2011,square meters,,Shygys Kazakhstan,KZ15,19.0
2012,square meters,,Shygys Kazakhstan,KZ15,19.0
2013,square meters,,Shygys Kazakhstan,KZ15,19.4
2014,square meters,,Shygys Kazakhstan,KZ15,19.5
2015,square meters,,Shygys Kazakhstan,KZ15,19.7
2016,square meters,,Shygys Kazakhstan,KZ15,20.0
2017,square meters,,Shygys Kazakhstan,KZ15,20.2
2018,square meters,,Shygys Kazakhstan,KZ15,20.3
2010,square meters,,Nur-Sultan city,KZ05,22.5
2011,square meters,,Nur-Sultan city,KZ05,24.4
2012,square meters,,Nur-Sultan city,KZ05,25.4
2013,square meters,,Nur-Sultan city,KZ05,27.7
2014,square meters,,Nur-Sultan city,KZ05,28.5
2015,square meters,,Nur-Sultan city,KZ05,29.0
2016,square meters,,Nur-Sultan city,KZ05,29.6
2017,square meters,,Nur-Sultan city,KZ05,29.8
2018,square meters,,Nur-Sultan city,KZ05,30.3
2010,square meters,,Almaty city,KZ02,20.3
2011,square meters,,Almaty city,KZ02,20.7
2012,square meters,,Almaty city,KZ02,24.4
2013,square meters,,Almaty city,KZ02,27.6
2014,square meters,,Almaty city,KZ02,26.7
2015,square meters,,Almaty city,KZ02,27.0
2016,square meters,,Almaty city,KZ02,27.6
2017,square meters,,Almaty city,KZ02,27.1
2018,square meters,,Almaty city,KZ02,27.3
2018,square meters,,Shymkent city,KZ18,24.7
2010,square meters,Urban,Akmola,,21.1
2011,square meters,Urban,Akmola,,21.1
2012,square meters,Urban,Akmola,,22.0
2013,square meters,Urban,Akmola,,22.4
2014,square meters,Urban,Akmola,,22.7
