Year,Units,total amount of damage caused by an emergency situation,Regions,GeoCode,Value
2010,thousand of tenge,caused by nature,,,1249382.0
2011,thousand of tenge,caused by nature,,,325575.2
2012,thousand of tenge,caused by nature,,,1238491.2
2013,thousand of tenge,caused by nature,,,1746756.9
2014,thousand of tenge,caused by nature,,,1261462.2
2015,thousand of tenge,caused by nature,,,4355867.8
2016,thousand of tenge,caused by nature,,,385186.0
2017,thousand of tenge,caused by nature,,,1418993.5
2018,thousand of tenge,caused by nature,,,615711.8
2010,thousand of tenge,caused by nature,Akmola,,20000.0
2011,thousand of tenge,caused by nature,Akmola,,578.3
2012,thousand of tenge,caused by nature,Akmola,,7579.2
2013,thousand of tenge,caused by nature,Akmola,,56392.5
2014,thousand of tenge,caused by nature,Akmola,,34045.1
2015,thousand of tenge,caused by nature,Akmola,,14285.0
2016,thousand of tenge,caused by nature,Akmola,,41496.0
2017,thousand of tenge,caused by nature,Akmola,,126663.1
2018,thousand of tenge,caused by nature,Akmola,,143191.2
2010,thousand of tenge,caused by nature,Aktobe,,5055.0
2011,thousand of tenge,caused by nature,Aktobe,,0.0
2012,thousand of tenge,caused by nature,Aktobe,,2000.0
2013,thousand of tenge,caused by nature,Aktobe,,2000.0
2014,thousand of tenge,caused by nature,Aktobe,,5000.0
2015,thousand of tenge,caused by nature,Aktobe,,0.0
2016,thousand of tenge,caused by nature,Aktobe,,13704.8
2017,thousand of tenge,caused by nature,Aktobe,,315259.9
2018,thousand of tenge,caused by nature,Aktobe,,34530.4
2010,thousand of tenge,caused by nature,Almaty,,900.0
2011,thousand of tenge,caused by nature,Almaty,,280.0
2012,thousand of tenge,caused by nature,Almaty,,867.0
2013,thousand of tenge,caused by nature,Almaty,,1363000.0
2014,thousand of tenge,caused by nature,Almaty,,6.0
2015,thousand of tenge,caused by nature,Almaty,,124.0
2016,thousand of tenge,caused by nature,Almaty,,1373.0
2017,thousand of tenge,caused by nature,Almaty,,9453.0
2018,thousand of tenge,caused by nature,Almaty,,494.0
2010,thousand of tenge,caused by nature,Atyrau,,0.0
2011,thousand of tenge,caused by nature,Atyrau,,0.0
2012,thousand of tenge,caused by nature,Atyrau,,0.0
2013,thousand of tenge,caused by nature,Atyrau,,0.0
2014,thousand of tenge,caused by nature,Atyrau,,50686.2
2015,thousand of tenge,caused by nature,Atyrau,,103683.7
