Year,Units,Vistims of emergency situations,Regions,Sex,Value
2010,Number of individuals,suffered,,,145.0
2011,Number of individuals,suffered,,,12.0
2012,Number of individuals,suffered,,,20.0
2013,Number of individuals,suffered,,,12.0
2014,Number of individuals,suffered,,,19.0
2015,Number of individuals,suffered,,,8.0
2016,Number of individuals,suffered,,,8.0
2017,Number of individuals,suffered,,,35.0
2018,Number of individuals,suffered,,,8.0
2010,per 100000 individuals,suffered,,,0.00145
2011,per 100000 individuals,suffered,,,0.00011999999999999999
2012,per 100000 individuals,suffered,,,0.0002
2013,per 100000 individuals,suffered,,,0.00011999999999999999
2014,per 100000 individuals,suffered,,,0.00018999999999999998
2015,per 100000 individuals,suffered,,,8e-05
2016,per 100000 individuals,suffered,,,8e-05
2017,per 100000 individuals,suffered,,,0.00035
2018,per 100000 individuals,suffered,,,8e-05
2010,Number of individuals,в т.ч. погибло,,,53.0
2011,Number of individuals,в т.ч. погибло,,,5.0
2012,Number of individuals,в т.ч. погибло,,,15.0
2013,Number of individuals,в т.ч. погибло,,,3.0
2014,Number of individuals,в т.ч. погибло,,,9.0
2016,Number of individuals,в т.ч. погибло,,,1.0
2017,Number of individuals,в т.ч. погибло,,,11.0
2018,Number of individuals,в т.ч. погибло,,,1.0
2010,per 100000 individuals,в т.ч. погибло,,,0.00053
2011,per 100000 individuals,в т.ч. погибло,,,5e-05
2012,per 100000 individuals,в т.ч. погибло,,,0.00015
2013,per 100000 individuals,в т.ч. погибло,,,2.9999999999999997e-05
2014,per 100000 individuals,в т.ч. погибло,,,9e-05
2016,per 100000 individuals,в т.ч. погибло,,,1e-05
2017,per 100000 individuals,в т.ч. погибло,,,0.00011
2018,per 100000 individuals,в т.ч. погибло,,,1e-05
2017,Number of individuals,suffered,Akmola,,2.0
2017,Number of individuals,suffered,Akmola,Male,1.0
2017,Number of individuals,suffered,Akmola,Female,1.0
2010,Number of individuals,suffered,Aktobe,,3.0
2010,Number of individuals,suffered,Aktobe,Male,2.0
2010,Number of individuals,suffered,Aktobe,жещины,1.0
2010,Number of individuals,в т.ч. погибло,Aktobe,,3.0
2010,Number of individuals,в т.ч. погибло,Aktobe,Male,2.0
2010,Number of individuals,в т.ч. погибло,Aktobe,Female,1.0
2011,Number of individuals,suffered,Aktobe,,1.0
2011,Number of individuals,suffered,Aktobe,Male,1.0
2011,Number of individuals,в т.ч. погибло,Aktobe,,1.0
2011,Number of individuals,в т.ч. погибло,Aktobe,Male,1.0
