Year,Units,Poaching,Regions,GeoCode,Value
2012,quantity,Number of violations,,,7480.0
2013,quantity,Number of violations,,,6455.0
2014,quantity,Number of violations,,,5895.0
2015,quantity,Number of violations,,,6555.0
2016,quantity,Number of violations,,,5782.0
2017,quantity,Number of violations,,,4514.0
2018,quantity,Number of violations,,,4735.0
2012,million tenge,Amount of fines (imposed),,,32.6
2013,million tenge,Amount of fines (imposed),,,32.6
2014,million tenge,Amount of fines (imposed),,,56.0
2015,million tenge,Amount of fines (imposed),,,87.2
2016,million tenge,Amount of fines (imposed),,,91.5
2017,million tenge,Amount of fines (imposed),,,78.4
2018,million tenge,Amount of fines (imposed),,,63.8
2012,million tenge,Amount of fines (collected),,,29.2
2013,million tenge,Amount of fines (collected),,,29.1
2014,million tenge,Amount of fines (collected),,,38.5
2015,million tenge,Amount of fines (collected),,,53.0
2016,million tenge,Amount of fines (collected),,,66.4
2017,million tenge,Amount of fines (collected),,,60.5
2018,million tenge,Amount of fines (collected),,,70.4
2012,quantity,Number of violations,Akmola,,53.0
2013,quantity,Number of violations,Akmola,,78.0
2014,quantity,Number of violations,Akmola,,71.0
2015,quantity,Number of violations,Akmola,,195.0
2016,quantity,Number of violations,Akmola,,371.0
2017,quantity,Number of violations,Akmola,,305.0
2018,quantity,Number of violations,Akmola,,310.0
2015,million tenge,Amount of fines (imposed),Akmola,,1.7
2016,million tenge,Amount of fines (imposed),Akmola,,4.7
2017,million tenge,Amount of fines (imposed),Akmola,,3.6
2018,million tenge,Amount of fines (imposed),Akmola,,4.1
2015,million tenge,Amount of fines (collected),Akmola,,1.6
2016,million tenge,Amount of fines (collected),Akmola,,3.6
2017,million tenge,Amount of fines (collected),Akmola,,3.1
2018,million tenge,Amount of fines (collected),Akmola,,3.8
2012,quantity,Number of violations,Aktobe,,212.0
2013,quantity,Number of violations,Aktobe,,178.0
2014,quantity,Number of violations,Aktobe,,114.0
2015,quantity,Number of violations,Aktobe,,98.0
2016,quantity,Number of violations,Aktobe,,113.0
2017,quantity,Number of violations,Aktobe,,111.0
2018,quantity,Number of violations,Aktobe,,103.0
2012,million tenge,Amount of fines (imposed),Aktobe,,1.1
2013,million tenge,Amount of fines (imposed),Aktobe,,1.0
2015,million tenge,Amount of fines (imposed),Aktobe,,1.2
2016,million tenge,Amount of fines (imposed),Aktobe,,1.5
2017,million tenge,Amount of fines (imposed),Aktobe,,1.5
2018,million tenge,Amount of fines (imposed),Aktobe,,1.4
2012,million tenge,Amount of fines (collected),Aktobe,,1.0
2016,million tenge,Amount of fines (collected),Aktobe,,1.3
2017,million tenge,Amount of fines (collected),Aktobe,,1.4
2018,million tenge,Amount of fines (collected),Aktobe,,1.4
2012,quantity,Number of violations,Almaty,,889.0
2013,quantity,Number of violations,Almaty,,987.0
2014,quantity,Number of violations,Almaty,,470.0
2015,quantity,Number of violations,Almaty,,555.0
2016,quantity,Number of violations,Almaty,,550.0
2017,quantity,Number of violations,Almaty,,548.0
2018,quantity,Number of violations,Almaty,,385.0
2012,million tenge,Amount of fines (imposed),Almaty,,5.9
2013,million tenge,Amount of fines (imposed),Almaty,,8.1
2014,million tenge,Amount of fines (imposed),Almaty,,5.2
2015,million tenge,Amount of fines (imposed),Almaty,,8.4
2016,million tenge,Amount of fines (imposed),Almaty,,8.4
2017,million tenge,Amount of fines (imposed),Almaty,,9.0
2018,million tenge,Amount of fines (imposed),Almaty,,6.0
2012,million tenge,Amount of fines (collected),Almaty,,5.5
