Year,Units,Regions,GeoCode,Value
2010,thousand ha,,,30671.7
2011,thousand ha,,,29320.1
2012,thousand ha,,,29320.1
2013,thousand ha,,,29320.1
2014,thousand ha,,,29320.1
2015,thousand ha,,,29320.1
2016,thousand ha,,,29320.1
2017,thousand ha,,,29320.1
2018,thousand ha,,,29320.1
2010,thousand ha,Akmola,KZ03,571.6
2011,thousand ha,Akmola,KZ03,571.6
2012,thousand ha,Akmola,KZ03,571.6
2013,thousand ha,Akmola,KZ03,571.6
2014,thousand ha,Akmola,KZ03,571.6
2015,thousand ha,Akmola,KZ03,571.6
2016,thousand ha,Akmola,KZ03,571.6
2017,thousand ha,Akmola,KZ03,571.6
2018,thousand ha,Akmola,KZ03,571.6
2010,thousand ha,Aktobe,KZ04,2582.5
2011,thousand ha,Aktobe,KZ04,2582.5
2012,thousand ha,Aktobe,KZ04,2582.5
2013,thousand ha,Aktobe,KZ04,2582.5
2014,thousand ha,Aktobe,KZ04,2582.5
2015,thousand ha,Aktobe,KZ04,2582.5
2016,thousand ha,Aktobe,KZ04,2582.5
2017,thousand ha,Aktobe,KZ04,2582.5
2018,thousand ha,Aktobe,KZ04,2582.5
2010,thousand ha,Almaty,KZ01,5767.9
2011,thousand ha,Almaty,KZ01,5767.9
2012,thousand ha,Almaty,KZ01,5767.9
2013,thousand ha,Almaty,KZ01,5767.9
2014,thousand ha,Almaty,KZ01,5767.9
2015,thousand ha,Almaty,KZ01,5767.9
2016,thousand ha,Almaty,KZ01,5767.9
2017,thousand ha,Almaty,KZ01,5767.9
2018,thousand ha,Almaty,KZ01,5767.9
2010,thousand ha,Atyrau,KZ06,3133.9
2011,thousand ha,Atyrau,KZ06,3133.9
2012,thousand ha,Atyrau,KZ06,3133.9
2013,thousand ha,Atyrau,KZ06,3133.9
2014,thousand ha,Atyrau,KZ06,3133.9
2015,thousand ha,Atyrau,KZ06,3133.9
2016,thousand ha,Atyrau,KZ06,3133.9
2017,thousand ha,Atyrau,KZ06,3133.9
2018,thousand ha,Atyrau,KZ06,3133.9
2010,thousand ha,Batys Kazakhstan,KZ07,1875.9
2011,thousand ha,Batys Kazakhstan,KZ07,1875.9
2012,thousand ha,Batys Kazakhstan,KZ07,1875.9
2013,thousand ha,Batys Kazakhstan,KZ07,1875.9
2014,thousand ha,Batys Kazakhstan,KZ07,1875.9
2015,thousand ha,Batys Kazakhstan,KZ07,1875.9
2016,thousand ha,Batys Kazakhstan,KZ07,1875.9
2017,thousand ha,Batys Kazakhstan,KZ07,1875.9
2018,thousand ha,Batys Kazakhstan,KZ07,1875.9
2010,thousand ha,Zhambyl,KZ17,2636.7
2011,thousand ha,Zhambyl,KZ17,2636.7
2012,thousand ha,Zhambyl,KZ17,2636.7
2013,thousand ha,Zhambyl,KZ17,2636.7
2014,thousand ha,Zhambyl,KZ17,2636.7
2015,thousand ha,Zhambyl,KZ17,2636.7
2016,thousand ha,Zhambyl,KZ17,2636.7
2017,thousand ha,Zhambyl,KZ17,2636.7
2018,thousand ha,Zhambyl,KZ17,2636.7
2010,thousand ha,Karagandy,KZ12,960.1
2011,thousand ha,Karagandy,KZ12,960.1
2012,thousand ha,Karagandy,KZ12,960.1
2013,thousand ha,Karagandy,KZ12,960.1
2014,thousand ha,Karagandy,KZ12,960.1
2015,thousand ha,Karagandy,KZ12,960.1
2016,thousand ha,Karagandy,KZ12,960.1
2017,thousand ha,Karagandy,KZ12,960.1
2018,thousand ha,Karagandy,KZ12,960.1
2010,thousand ha,Kostanay,KZ13,769.9
2011,thousand ha,Kostanay,KZ13,769.9
2012,thousand ha,Kostanay,KZ13,769.9
2013,thousand ha,Kostanay,KZ13,769.9
2014,thousand ha,Kostanay,KZ13,769.9
2015,thousand ha,Kostanay,KZ13,769.9
2016,thousand ha,Kostanay,KZ13,769.9
2017,thousand ha,Kostanay,KZ13,769.9
2018,thousand ha,Kostanay,KZ13,769.9
2010,thousand ha,Kyzylorda,KZ14,2849.6
2011,thousand ha,Kyzylorda,KZ14,2849.6
2012,thousand ha,Kyzylorda,KZ14,2849.6
2013,thousand ha,Kyzylorda,KZ14,2849.6
2014,thousand ha,Kyzylorda,KZ14,2849.6
2015,thousand ha,Kyzylorda,KZ14,2849.6
2016,thousand ha,Kyzylorda,KZ14,2849.6
2017,thousand ha,Kyzylorda,KZ14,2849.6
2018,thousand ha,Kyzylorda,KZ14,2849.6
2010,thousand ha,Mangistau,KZ09,1456.3
2011,thousand ha,Mangistau,KZ09,1456.3
2012,thousand ha,Mangistau,KZ09,1456.3
2013,thousand ha,Mangistau,KZ09,1456.3
2014,thousand ha,Mangistau,KZ09,1456.3
2015,thousand ha,Mangistau,KZ09,1456.3
2016,thousand ha,Mangistau,KZ09,1456.3
2017,thousand ha,Mangistau,KZ09,1456.3
2018,thousand ha,Mangistau,KZ09,1456.3
2010,thousand ha,Pavlodar,KZ11,1297.2
2011,thousand ha,Pavlodar,KZ11,1297.2
2012,thousand ha,Pavlodar,KZ11,1297.2
2013,thousand ha,Pavlodar,KZ11,1297.2
2014,thousand ha,Pavlodar,KZ11,1297.2
2015,thousand ha,Pavlodar,KZ11,1297.2
2016,thousand ha,Pavlodar,KZ11,1297.2
2017,thousand ha,Pavlodar,KZ11,1297.2
2018,thousand ha,Pavlodar,KZ11,1297.2
2010,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2011,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2012,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2013,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2014,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2015,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2016,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2017,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2018,thousand ha,Soltustik Kazakhstan,KZ16,56.0
2010,thousand ha,Turkistan,KZ10,4066.6
2011,thousand ha,Turkistan,KZ10,4066.6
2012,thousand ha,Turkistan,KZ10,4066.6
2013,thousand ha,Turkistan,KZ10,4066.6
2014,thousand ha,Turkistan,KZ10,4066.6
2015,thousand ha,Turkistan,KZ10,4066.6
2016,thousand ha,Turkistan,KZ10,4066.6
2017,thousand ha,Turkistan,KZ10,4066.6
2018,thousand ha,Turkistan,KZ10,4066.6
2010,thousand ha,Shygys Kazakhstan,KZ15,1292.6
2011,thousand ha,Shygys Kazakhstan,KZ15,1292.6
2012,thousand ha,Shygys Kazakhstan,KZ15,1292.6
