Year,Units,Regions,GeoCode,Value
2010,Percent,,,19.7
2011,Percent,,,19.6
2012,Percent,,,19.7
2013,Percent,,,19.4
2014,Percent,,,19.4
2015,Percent,,,19.4
2016,Percent,,,19.0
2017,Percent,,,19.1
2018,Percent,,,19.8
2010,Percent,Akmola,KZ03,8.8
2011,Percent,Akmola,KZ03,8.4
2012,Percent,Akmola,KZ03,7.2
2013,Percent,Akmola,KZ03,7.2
2014,Percent,Akmola,KZ03,7.1
2015,Percent,Akmola,KZ03,7.0
2016,Percent,Akmola,KZ03,7.0
2017,Percent,Akmola,KZ03,9.4
2018,Percent,Akmola,KZ03,9.4
2010,Percent,Almaty,KZ01,32.8
2011,Percent,Almaty,KZ01,32.6
2012,Percent,Almaty,KZ01,32.6
2013,Percent,Almaty,KZ01,32.6
2014,Percent,Almaty,KZ01,32.6
2015,Percent,Almaty,KZ01,32.6
2016,Percent,Almaty,KZ01,32.0
2017,Percent,Almaty,KZ01,32.0
2018,Percent,Almaty,KZ01,31.5
2010,Percent,Zhambyl,KZ17,4.1
2011,Percent,Zhambyl,KZ17,4.1
2012,Percent,Zhambyl,KZ17,4.1
2013,Percent,Zhambyl,KZ17,4.1
2014,Percent,Zhambyl,KZ17,4.1
2015,Percent,Zhambyl,KZ17,4.1
2016,Percent,Zhambyl,KZ17,4.1
2017,Percent,Zhambyl,KZ17,4.9
2018,Percent,Zhambyl,KZ17,4.9
2010,Percent,Karagandy,KZ12,29.7
2011,Percent,Karagandy,KZ12,28.7
2012,Percent,Karagandy,KZ12,25.2
2013,Percent,Karagandy,KZ12,25.2
2014,Percent,Karagandy,KZ12,25.2
2015,Percent,Karagandy,KZ12,25.0
2016,Percent,Karagandy,KZ12,25.0
2017,Percent,Karagandy,KZ12,29.1
2018,Percent,Karagandy,KZ12,29.1
2010,Percent,Pavlodar,KZ11,14.3
2011,Percent,Pavlodar,KZ11,14.3
2012,Percent,Pavlodar,KZ11,14.3
2013,Percent,Pavlodar,KZ11,14.3
2014,Percent,Pavlodar,KZ11,14.3
2015,Percent,Pavlodar,KZ11,14.3
2016,Percent,Pavlodar,KZ11,14.3
2017,Percent,Pavlodar,KZ11,14.3
2018,Percent,Pavlodar,KZ11,14.3
2010,Percent,Soltustik Kazakhstan,KZ16,1.6
2011,Percent,Soltustik Kazakhstan,KZ16,1.6
2012,Percent,Soltustik Kazakhstan,KZ16,1.6
2013,Percent,Soltustik Kazakhstan,KZ16,1.6
2014,Percent,Soltustik Kazakhstan,KZ16,1.6
2015,Percent,Soltustik Kazakhstan,KZ16,1.6
2016,Percent,Soltustik Kazakhstan,KZ16,1.6
2017,Percent,Soltustik Kazakhstan,KZ16,1.6
2018,Percent,Soltustik Kazakhstan,KZ16,1.6
2010,Percent,Turkistan,KZ10,11.0
2011,Percent,Turkistan,KZ10,11.0
2012,Percent,Turkistan,KZ10,12.6
2013,Percent,Turkistan,KZ10,9.7
2014,Percent,Turkistan,KZ10,12.6
2015,Percent,Turkistan,KZ10,12.6
2016,Percent,Turkistan,KZ10,12.6
2017,Percent,Turkistan,KZ10,12.6
2018,Percent,Turkistan,KZ10,12.6
2010,Percent,Shygys Kazakhstan,KZ15,82.2
2011,Percent,Shygys Kazakhstan,KZ15,82.2
2012,Percent,Shygys Kazakhstan,KZ15,82.1
2013,Percent,Shygys Kazakhstan,KZ15,82.1
2014,Percent,Shygys Kazakhstan,KZ15,82.2
2015,Percent,Shygys Kazakhstan,KZ15,82.2
2016,Percent,Shygys Kazakhstan,KZ15,82.0
2017,Percent,Shygys Kazakhstan,KZ15,80.6
2018,Percent,Shygys Kazakhstan,KZ15,81.4
