Year,Units,Regions,Value
2010,тыс.га,,5640.9
2010,тыс.га,Akmola,86.6
2010,тыс.га,Almaty,1701.6
2010,тыс.га,Zhambyl,182.6
2010,тыс.га,Karagandy,175.7
2010,тыс.га,Pavlodar,68.5
2010,тыс.га,Soltustik Kazakhstan,11.1
2010,тыс.га,Turkistan,379.6
2010,тыс.га,Shygys Kazakhstan,3035.2
2011,тыс.га,,5646.8
2011,тыс.га,Akmola,86.6
2011,тыс.га,Almaty,1707.4
2011,тыс.га,Zhambyl,182.6
2011,тыс.га,Karagandy,175.7
2011,тыс.га,Pavlodar,68.5
2011,тыс.га,Soltustik Kazakhstan,11.1
2011,тыс.га,Turkistan,379.6
2011,тыс.га,Shygys Kazakhstan,3034.9
2012,тыс.га,,5663.6
2012,тыс.га,Akmola,74.5
2012,тыс.га,Almaty,1707.5
2012,тыс.га,Zhambyl,182.6
2012,тыс.га,Karagandy,153.8
2012,тыс.га,Pavlodar,68.5
2012,тыс.га,Soltustik Kazakhstan,11.1
2012,тыс.га,Turkistan,431.8
2012,тыс.га,Shygys Kazakhstan,3033.7
2013,тыс.га,,5669.2
2013,тыс.га,Akmola,74.5
2013,тыс.га,Almaty,1707.5
2013,тыс.га,Zhambyl,182.6
2013,тыс.га,Karagandy,153.8
2013,тыс.га,Pavlodar,68.5
2013,тыс.га,Soltustik Kazakhstan,11.1
2013,тыс.га,Turkistan,431.8
2013,тыс.га,Shygys Kazakhstan,3039.4
2014,тыс.га,,5674.5
2014,тыс.га,Akmola,74.5
2014,тыс.га,Almaty,1706.5
2014,тыс.га,Zhambyl,182.6
2014,тыс.га,Karagandy,153.8
2014,тыс.га,Pavlodar,68.5
2014,тыс.га,Soltustik Kazakhstan,11.1
2014,тыс.га,Turkistan,431.8
2014,тыс.га,Shygys Kazakhstan,3045.6
2015,тыс.га,,5675.0
2015,тыс.га,Akmola,74.5
2015,тыс.га,Almaty,1707.1
2015,тыс.га,Zhambyl,182.6
2015,тыс.га,Karagandy,153.8
2015,тыс.га,Pavlodar,68.5
2015,тыс.га,Soltustik Kazakhstan,11.1
2015,тыс.га,Turkistan,431.8
2015,тыс.га,Shygys Kazakhstan,3045.6
2016,тыс.га,,5675.2
2016,тыс.га,Akmola,74.5
2016,тыс.га,Almaty,1707.3
2016,тыс.га,Zhambyl,182.6
2016,тыс.га,Karagandy,153.8
2016,тыс.га,Pavlodar,68.5
2016,тыс.га,Soltustik Kazakhstan,11.1
2016,тыс.га,Turkistan,431.8
2016,тыс.га,Shygys Kazakhstan,3045.6
2017,тыс.га,,5699.2
2017,тыс.га,Akmola,99.8
2017,тыс.га,Almaty,1707.3
2017,тыс.га,Zhambyl,215.8
2017,тыс.га,Karagandy,179.2
2017,тыс.га,Pavlodar,68.5
2017,тыс.га,Soltustik Kazakhstan,11.1
2017,тыс.га,Turkistan,431.8
2017,тыс.га,Shygys Kazakhstan,2985.8
2018,тыс.га,,5841.6
2018,тыс.га,Akmola,99.8
2018,тыс.га,Almaty,1706.1
2018,тыс.га,Zhambyl,215.8
2018,тыс.га,Karagandy,179.2
2018,тыс.га,Pavlodar,68.5
2018,тыс.га,Soltustik Kazakhstan,11.1
2018,тыс.га,Turkistan,431.8
2018,тыс.га,Shygys Kazakhstan,3129.3
2019,тыс.га,,5999.6
2019,тыс.га,Akmola,99.8
2019,тыс.га,Almaty,1705.9
2019,тыс.га,Zhambyl,324.9
2019,тыс.га,Karagandy,179.2
2019,тыс.га,Pavlodar,68.5
2019,тыс.га,Soltustik Kazakhstan,11.1
2019,тыс.га,Turkistan,431.8
2019,тыс.га,Shygys Kazakhstan,3178.4
