Year,Units,Protected species,Value
2011,units,,102000.0
2012,units,,137500.0
2013,units,,187000.0
2014,units,,256700.0
2015,units,,295470.0
2016,units,,108300.0
2017,units,,152600.0
2018,units,,215100.0
2011,units,Species from Ural region,17900.0
2012,units,Species from Ural region,20900.0
2013,units,Species from Ural region,26400.0
2014,units,Species from Ural region,39000.0
2015,units,Species from Ural region,51700.0
2016,units,Species from Ural region,70200.0
2017,units,Species from Ural region,98200.0
2018,units,Species from Ural region,135000.0
2011,units,Species from Usturts region,6100.0
2012,units,Species from Usturts region,6500.0
2013,units,Species from Usturts region,5400.0
2014,units,Species from Usturts region,1700.0
2015,units,Species from Usturts region,1270.0
2016,units,Species from Usturts region,1900.0
2017,units,Species from Usturts region,2700.0
2018,units,Species from Usturts region,3700.0
2011,units,Species from Betpakdalinsk region,78000.0
2012,units,Species from Betpakdalinsk region,110100.0
2013,units,Species from Betpakdalinsk region,155200.0
2014,units,Species from Betpakdalinsk region,216000.0
2015,units,Species from Betpakdalinsk region,242000.0
2016,units,Species from Betpakdalinsk region,26200.0
2017,units,Species from Betpakdalinsk region,51700.0
2018,units,Species from Betpakdalinsk region,76400.0
