Year,Units,Safety grade,Area,Sex,nationality,Age,Value
2016,Percent,Total security,,,,,42.4
2016,Percent,Relatively safe,,,,,48.7
2016,Percent,Not safe,,,,,8.9
2016,Percent,Total security,urban area,,,,38.0
2016,Percent,Relatively safe,urban area,,,,52.8
2016,Percent,Not safe,urban area,,,,9.2
2016,Percent,Total security,countryside,,,,48.5
2016,Percent,Relatively safe,countryside,,,,42.9
2016,Percent,Not safe,countryside,,,,8.6
2016,Percent,Total security,,Male,,,48.2
2016,Percent,Relatively safe,,Male,,,45.4
2016,Percent,Not safe,,Male,,,6.4
2016,Percent,Total security,,Female,,,37.1
2016,Percent,Relatively safe,,Female,,,51.7
2016,Percent,Not safe,,Female,,,11.2
2016,Percent,Total security,,,Kazakh,,46.9
2016,Percent,Relatively safe,,,Kazakh,,45.5
2016,Percent,Not safe,,,Kazakh,,7.6
2016,Percent,Total security,,,Russian,,34.5
2016,Percent,Relatively safe,,,Russian,,54.1
2016,Percent,Not safe,,,Russian,,11.4
2016,Percent,Total security,,,uzbeks,,48.5
2016,Percent,Relatively safe,,,uzbeks,,44.6
2016,Percent,Not safe,,,uzbeks,,6.9
2016,Percent,Total security,,,ukranians,,33.7
2016,Percent,Relatively safe,,,ukranians,,52.2
2016,Percent,Not safe,,,ukranians,,14.1
2016,Percent,Total security,,,uigurs,,26.1
2016,Percent,Relatively safe,,,uigurs,,60.5
2016,Percent,Not safe,,,uigurs,,13.4
2016,Percent,Total security,,,other nationalities,,34.1
2016,Percent,Relatively safe,,,other nationalities,,56.0
2016,Percent,Not safe,,,other nationalities,,9.8
2016,Percent,Total security,,,,15-19,41.6
2016,Percent,Relatively safe,,,,15-19,45.0
2016,Percent,Not safe,,,,15-19,13.4
2016,Percent,Total security,,,,20-24,47.8
2016,Percent,Relatively safe,,,,20-24,45.6
2016,Percent,Not safe,,,,20-24,6.5
2016,Percent,Total security,,,,25-29,44.5
2016,Percent,Relatively safe,,,,25-29,48.7
2016,Percent,Not safe,,,,25-29,6.8
2016,Percent,Total security,,,,30-34,44.5
2016,Percent,Relatively safe,,,,30-34,48.3
2016,Percent,Not safe,,,,30-34,7.2
2016,Percent,Total security,,,,35-39,41.9
2016,Percent,Relatively safe,,,,35-39,50.9
2016,Percent,Not safe,,,,35-39,7.1
2016,Percent,Total security,,,,40-44,41.1
2016,Percent,Relatively safe,,,,40-44,51.1
2016,Percent,Not safe,,,,40-44,7.8
2016,Percent,Total security,,,,45-49,45.0
2016,Percent,Relatively safe,,,,45-49,46.5
2016,Percent,Not safe,,,,45-49,8.5
2016,Percent,Total security,,,,50-54,42.7
2016,Percent,Relatively safe,,,,50-54,49.7
2016,Percent,Not safe,,,,50-54,7.6
2016,Percent,Total security,,,,55-59,41.5
2016,Percent,Relatively safe,,,,55-59,49.3
2016,Percent,Not safe,,,,55-59,9.2
2016,Percent,Total security,,,,60+,35.0
2016,Percent,Relatively safe,,,,60+,51.1
2016,Percent,Not safe,,,,60+,14.0
