Year,Units,Official development assistance,Value
2010,млн.долл.США,Kazakhstan as beneficiary,459.11920599999996
2011,млн.долл.США,Kazakhstan as beneficiary,140.796046
2012,млн.долл.США,Kazakhstan as beneficiary,64.973739
2013,млн.долл.США,Kazakhstan as beneficiary,67.695702
2013,млн.долл.США,Kazakhstan as donor,0.080092
2014,млн.долл.США,Kazakhstan as beneficiary,236.623382
2014,млн.долл.США,Kazakhstan as donor,9.33595
2015,млн.долл.США,Kazakhstan as beneficiary,477.36227599999995
2015,млн.долл.США,Kazakhstan as donor,11.912603
2016,млн.долл.США,Kazakhstan as beneficiary,1025.859048
2016,млн.долл.США,Kazakhstan as donor,10.298983
2017,млн.долл.США,Kazakhstan as beneficiary,184.107148
2017,млн.долл.США,Kazakhstan as donor,9.761301
