Year,Units,Area,Sex,Regions,Value
2010,Percent,,,,23.4
2011,Percent,,,,25.0
2012,Percent,,,,27.8
2013,Percent,,,,27.4
2014,Percent,,,,32.4
2015,Percent,,,,32.5
2016,Percent,,,,34.6
2017,Percent,,,,36.6
2018,Percent,,,,40.0
2010,Percent,,,Akmola,27.3
2011,Percent,,,Akmola,30.0
2012,Percent,,,Akmola,34.3
2013,Percent,,,Akmola,33.0
2014,Percent,,,Akmola,36.2
2015,Percent,,,Akmola,41.9
2016,Percent,,,Akmola,42.6
2017,Percent,,,Akmola,41.9
2018,Percent,,,Akmola,42.5
2010,Percent,,,Aktobe,30.8
2011,Percent,,,Aktobe,34.1
2012,Percent,,,Aktobe,40.3
2013,Percent,,,Aktobe,36.8
2014,Percent,,,Aktobe,53.2
2015,Percent,,,Aktobe,46.6
2016,Percent,,,Aktobe,50.3
2017,Percent,,,Aktobe,48.6
2018,Percent,,,Aktobe,52.2
2010,Percent,,,Almaty,16.4
2011,Percent,,,Almaty,19.7
2012,Percent,,,Almaty,26.7
2013,Percent,,,Almaty,19.9
2014,Percent,,,Almaty,29.2
2015,Percent,,,Almaty,25.8
2016,Percent,,,Almaty,26.3
2017,Percent,,,Almaty,27.9
2018,Percent,,,Almaty,38.0
2010,Percent,,,Atyrau,32.9
2011,Percent,,,Atyrau,35.4
2012,Percent,,,Atyrau,26.7
2013,Percent,,,Atyrau,28.1
2014,Percent,,,Atyrau,30.3
2015,Percent,,,Atyrau,40.2
2016,Percent,,,Atyrau,32.0
2017,Percent,,,Atyrau,40.3
2018,Percent,,,Atyrau,33.9
2010,Percent,,,Batys Kazakhstan,25.3
2011,Percent,,,Batys Kazakhstan,28.9
2012,Percent,,,Batys Kazakhstan,41.4
2013,Percent,,,Batys Kazakhstan,47.3
2014,Percent,,,Batys Kazakhstan,34.9
2015,Percent,,,Batys Kazakhstan,37.7
2016,Percent,,,Batys Kazakhstan,39.8
2017,Percent,,,Batys Kazakhstan,45.6
2018,Percent,,,Batys Kazakhstan,50.6
2010,Percent,,,Zhambyl,18.8
2011,Percent,,,Zhambyl,22.3
2012,Percent,,,Zhambyl,24.1
2013,Percent,,,Zhambyl,37.6
2014,Percent,,,Zhambyl,23.6
2015,Percent,,,Zhambyl,25.6
2016,Percent,,,Zhambyl,31.3
2017,Percent,,,Zhambyl,25.0
2018,Percent,,,Zhambyl,31.0
2010,Percent,,,Karagandy,28.0
2011,Percent,,,Karagandy,28.6
2012,Percent,,,Karagandy,29.6
2013,Percent,,,Karagandy,26.4
2014,Percent,,,Karagandy,36.9
2015,Percent,,,Karagandy,33.8
2016,Percent,,,Karagandy,39.0
2017,Percent,,,Karagandy,42.2
2018,Percent,,,Karagandy,45.1
2010,Percent,,,Kostanay,27.3
2011,Percent,,,Kostanay,33.5
2012,Percent,,,Kostanay,37.9
2013,Percent,,,Kostanay,38.0
2014,Percent,,,Kostanay,39.0
2015,Percent,,,Kostanay,46.1
2016,Percent,,,Kostanay,43.6
2017,Percent,,,Kostanay,44.8
2018,Percent,,,Kostanay,51.1
2010,Percent,,,Kyzylorda,20.3
2011,Percent,,,Kyzylorda,23.4
2012,Percent,,,Kyzylorda,28.7
2013,Percent,,,Kyzylorda,27.0
2014,Percent,,,Kyzylorda,39.9
2015,Percent,,,Kyzylorda,39.6
2016,Percent,,,Kyzylorda,38.6
2017,Percent,,,Kyzylorda,43.2
2018,Percent,,,Kyzylorda,43.8
2010,Percent,,,Mangistau,42.6
2011,Percent,,,Mangistau,36.3
2012,Percent,,,Mangistau,35.8
2013,Percent,,,Mangistau,42.9
2014,Percent,,,Mangistau,44.6
2015,Percent,,,Mangistau,61.0
2016,Percent,,,Mangistau,60.1
2017,Percent,,,Mangistau,70.3
2018,Percent,,,Mangistau,67.2
2010,Percent,,,Ontustik Kazakhstan,12.0
2011,Percent,,,Ontustik Kazakhstan,12.8
2012,Percent,,,Ontustik Kazakhstan,16.9
2013,Percent,,,Ontustik Kazakhstan,14.7
