Year,Units,Kind of violence,Period of time,Age,Value
2015,Percent,Physical violence,During lifetime,Women: age 18-75 years old,16.2
2015,Percent,Sexual harassment,During lifetime,Women: age 18-75 years old,3.6
2015,Percent,Physical violence/sexual harassment,During lifetime,Women: age 18-75 years old,16.5
2015,Percent,Physical violence,In the last 12 months,Women: age 18-75 years old,4.5
2015,Percent,Sexual harassment,In the last 12 months,Women: age 18-75 years old,1.0
2015,Percent,Physical violence/sexual harassment,In the last 12 months,Women: age 18-75 years old,4.7
2015,Percent,Physical violence,During lifetime,Женщины в возрасте 18-49 лет,16.0
2015,Percent,Sexual harassment,During lifetime,Женщины в возрасте 18-49 лет,3.9
2015,Percent,Physical violence/sexual harassment,During lifetime,Женщины в возрасте 18-49 лет,16.4
2015,Percent,Physical violence,In the last 12 months,Женщины в возрасте 18-49 лет,5.3
2015,Percent,Sexual harassment,In the last 12 months,Женщины в возрасте 18-49 лет,1.2
2015,Percent,Physical violence/sexual harassment,In the last 12 months,Женщины в возрасте 18-49 лет,5.6
