Year,Units,Regions,Sex,Area,Age,GeoCode,Value
2010,Percent,,,,,,5.8
2011,Percent,,,,,,5.4
2012,Percent,,,,,,5.3
2013,Percent,,,,,,5.2
2014,Percent,,,,,,5.0
2015,Percent,,,,,,5.1
2016,Percent,,,,,,5.0
2017,Percent,,,,,,4.9
2018,Percent,,,,,,4.9
2010,Percent,Akmola,,,,KZ03,5.8
2011,Percent,Akmola,,,,KZ03,5.5
2012,Percent,Akmola,,,,KZ03,5.3
2013,Percent,Akmola,,,,KZ03,5.2
2014,Percent,Akmola,,,,KZ03,4.9
2015,Percent,Akmola,,,,KZ03,5.1
2016,Percent,Akmola,,,,KZ03,4.9
2017,Percent,Akmola,,,,KZ03,4.8
2018,Percent,Akmola,,,,KZ03,4.8
2010,Percent,Aktobe,,,,KZ04,5.3
2011,Percent,Aktobe,,,,KZ04,4.9
2012,Percent,Aktobe,,,,KZ04,5.0
2013,Percent,Aktobe,,,,KZ04,4.9
2014,Percent,Aktobe,,,,KZ04,4.9
2015,Percent,Aktobe,,,,KZ04,5.1
2016,Percent,Aktobe,,,,KZ04,4.8
2017,Percent,Aktobe,,,,KZ04,4.8
2018,Percent,Aktobe,,,,KZ04,4.8
2010,Percent,Almaty,,,,KZ01,5.6
2011,Percent,Almaty,,,,KZ01,5.1
2012,Percent,Almaty,,,,KZ01,5.0
2013,Percent,Almaty,,,,KZ01,4.9
2014,Percent,Almaty,,,,KZ01,4.9
2015,Percent,Almaty,,,,KZ01,5.0
2016,Percent,Almaty,,,,KZ01,4.8
2017,Percent,Almaty,,,,KZ01,4.7
2018,Percent,Almaty,,,,KZ01,4.7
2010,Percent,Atyrau,,,,KZ06,5.4
2011,Percent,Atyrau,,,,KZ06,5.0
2012,Percent,Atyrau,,,,KZ06,5.0
2013,Percent,Atyrau,,,,KZ06,5.0
2014,Percent,Atyrau,,,,KZ06,5.0
2015,Percent,Atyrau,,,,KZ06,5.0
2016,Percent,Atyrau,,,,KZ06,4.9
2017,Percent,Atyrau,,,,KZ06,4.9
2018,Percent,Atyrau,,,,KZ06,4.9
2010,Percent,Batys Kazakhstan,,,,KZ07,5.6
2011,Percent,Batys Kazakhstan,,,,KZ07,5.3
2012,Percent,Batys Kazakhstan,,,,KZ07,5.1
2013,Percent,Batys Kazakhstan,,,,KZ07,5.1
2014,Percent,Batys Kazakhstan,,,,KZ07,5.0
2015,Percent,Batys Kazakhstan,,,,KZ07,5.1
2016,Percent,Batys Kazakhstan,,,,KZ07,4.9
2017,Percent,Batys Kazakhstan,,,,KZ07,4.9
2018,Percent,Batys Kazakhstan,,,,KZ07,4.9
2010,Percent,Zhambyl,,,,KZ17,5.7
2011,Percent,Zhambyl,,,,KZ17,5.5
2012,Percent,Zhambyl,,,,KZ17,5.4
2013,Percent,Zhambyl,,,,KZ17,5.2
2014,Percent,Zhambyl,,,,KZ17,4.9
2015,Percent,Zhambyl,,,,KZ17,5.1
2016,Percent,Zhambyl,,,,KZ17,4.9
2017,Percent,Zhambyl,,,,KZ17,4.9
2018,Percent,Zhambyl,,,,KZ17,4.9
2010,Percent,Karagandy,,,,KZ12,5.5
2011,Percent,Karagandy,,,,KZ12,5.3
2012,Percent,Karagandy,,,,KZ12,5.1
2013,Percent,Karagandy,,,,KZ12,5.0
2014,Percent,Karagandy,,,,KZ12,4.9
2015,Percent,Karagandy,,,,KZ12,5.3
2016,Percent,Karagandy,,,,KZ12,5.0
2017,Percent,Karagandy,,,,KZ12,4.8
2018,Percent,Karagandy,,,,KZ12,4.6
2010,Percent,Kostanay,,,,KZ13,5.7
2011,Percent,Kostanay,,,,KZ13,5.4
2012,Percent,Kostanay,,,,KZ13,5.2
2013,Percent,Kostanay,,,,KZ13,5.2
2014,Percent,Kostanay,,,,KZ13,5.0
2015,Percent,Kostanay,,,,KZ13,5.1
2016,Percent,Kostanay,,,,KZ13,4.9
2017,Percent,Kostanay,,,,KZ13,4.8
2018,Percent,Kostanay,,,,KZ13,4.8
2010,Percent,Kyzylorda,,,,KZ14,5.9
2011,Percent,Kyzylorda,,,,KZ14,5.5
2012,Percent,Kyzylorda,,,,KZ14,5.3
2013,Percent,Kyzylorda,,,,KZ14,5.2
2014,Percent,Kyzylorda,,,,KZ14,5.0
2015,Percent,Kyzylorda,,,,KZ14,5.1
2016,Percent,Kyzylorda,,,,KZ14,4.9
2017,Percent,Kyzylorda,,,,KZ14,4.8
2018,Percent,Kyzylorda,,,,KZ14,4.8
