Year,Units,Regions,Value
2010,в процентах к предыдущему году,,109.1
2011,в процентах к предыдущему году,,112.1
2011,в процентах к предыдущему году,Akmola,111.5
2011,в процентах к предыдущему году,Aktobe,107.7
2011,в процентах к предыдущему году,Almaty,124.8
2011,в процентах к предыдущему году,Atyrau,99.1
2011,в процентах к предыдущему году,Batys Kazakhstan,100.0
2011,в процентах к предыдущему году,Zhambyl,127.3
2011,в процентах к предыдущему году,Karagandy,110.0
2011,в процентах к предыдущему году,Kostanay,97.2
2011,в процентах к предыдущему году,Kyzylorda,100.0
2011,в процентах к предыдущему году,Mangistau,66.8
2011,в процентах к предыдущему году,Ontustik Kazakhstan,121.5
2011,в процентах к предыдущему году,Pavlodar,98.3
2011,в процентах к предыдущему году,Soltustik Kazakhstan,112.9
2011,в процентах к предыдущему году,Shygys Kazakhstan,120.7
2011,в процентах к предыдущему году,Nur-Sultan city,300.9
2011,в процентах к предыдущему году,Almaty city,120.0
2012,в процентах к предыдущему году,,102.8
2012,в процентах к предыдущему году,Akmola,103.7
2012,в процентах к предыдущему году,Aktobe,100.0
2012,в процентах к предыдущему году,Almaty,100.0
2012,в процентах к предыдущему году,Atyrau,63.5
2012,в процентах к предыдущему году,Batys Kazakhstan,98.0
2012,в процентах к предыдущему году,Zhambyl,94.3
2012,в процентах к предыдущему году,Karagandy,100.0
2012,в процентах к предыдущему году,Kostanay,100.0
2012,в процентах к предыдущему году,Kyzylorda,132.4
2012,в процентах к предыдущему году,Mangistau,100.0
2012,в процентах к предыдущему году,Ontustik Kazakhstan,104.2
2012,в процентах к предыдущему году,Pavlodar,104.8
2012,в процентах к предыдущему году,Soltustik Kazakhstan,94.5
2012,в процентах к предыдущему году,Shygys Kazakhstan,120.7
2012,в процентах к предыдущему году,Nur-Sultan city,100.0
2012,в процентах к предыдущему году,Almaty city,103.4
2013,в процентах к предыдущему году,,102.1
2013,в процентах к предыдущему году,Akmola,97.6
2013,в процентах к предыдущему году,Aktobe,101.9
2013,в процентах к предыдущему году,Almaty,104.5
2013,в процентах к предыдущему году,Atyrau,93.1
2013,в процентах к предыдущему году,Batys Kazakhstan,108.3
2013,в процентах к предыдущему году,Zhambyl,139.5
2013,в процентах к предыдущему году,Karagandy,102.8
2013,в процентах к предыдущему году,Kostanay,107.9
2013,в процентах к предыдущему году,Kyzylorda,151.4
2013,в процентах к предыдущему году,Mangistau,127.1
2013,в процентах к предыдущему году,Ontustik Kazakhstan,88.8
2013,в процентах к предыдущему году,Pavlodar,100.0
2013,в процентах к предыдущему году,Soltustik Kazakhstan,101.6
2013,в процентах к предыдущему году,Shygys Kazakhstan,105.4
2013,в процентах к предыдущему году,Nur-Sultan city,97.8
2013,в процентах к предыдущему году,Almaty city,94.9
2014,в процентах к предыдущему году,,103.8
2014,в процентах к предыдущему году,Akmola,113.2
2014,в процентах к предыдущему году,Aktobe,93.0
2014,в процентах к предыдущему году,Almaty,87.1
2014,в процентах к предыдущему году,Atyrau,159.2
2014,в процентах к предыдущему году,Batys Kazakhstan,89.2
2014,в процентах к предыдущему году,Zhambyl,116.4
2014,в процентах к предыдущему году,Karagandy,116.5
2014,в процентах к предыдущему году,Kostanay,114.1
2014,в процентах к предыдущему году,Kyzylorda,87.2
2014,в процентах к предыдущему году,Mangistau,113.5
2014,в процентах к предыдущему году,Ontustik Kazakhstan,69.0
2014,в процентах к предыдущему году,Pavlodar,94.1
2014,в процентах к предыдущему году,Soltustik Kazakhstan,105.2
2014,в процентах к предыдущему году,Shygys Kazakhstan,100.2
2014,в процентах к предыдущему году,Nur-Sultan city,102.1
2014,в процентах к предыдущему году,Almaty city,122.3
2015,в процентах к предыдущему году,,97.3
2015,в процентах к предыдущему году,Akmola,107.8
2015,в процентах к предыдущему году,Aktobe,99.7
2015,в процентах к предыдущему году,Almaty,97.2
2015,в процентах к предыдущему году,Atyrau,70.8
2015,в процентах к предыдущему году,Batys Kazakhstan,76.4
2015,в процентах к предыдущему году,Zhambyl,89.3
2015,в процентах к предыдущему году,Karagandy,112.6
2015,в процентах к предыдущему году,Kostanay,87.8
2015,в процентах к предыдущему году,Kyzylorda,107.5
2015,в процентах к предыдущему году,Mangistau,69.3
2015,в процентах к предыдущему году,Ontustik Kazakhstan,128.6
2015,в процентах к предыдущему году,Pavlodar,98.1
2015,в процентах к предыдущему году,Soltustik Kazakhstan,97.6
2015,в процентах к предыдущему году,Shygys Kazakhstan,89.7
2015,в процентах к предыдущему году,Nur-Sultan city,67.3
2015,в процентах к предыдущему году,Almaty city,77.8
2016,в процентах к предыдущему году,,99.0
2016,в процентах к предыдущему году,Akmola,98.4
2016,в процентах к предыдущему году,Aktobe,101.4
2016,в процентах к предыдущему году,Almaty,93.7
2016,в процентах к предыдущему году,Atyrau,125.3
2016,в процентах к предыдущему году,Batys Kazakhstan,87.3
2016,в процентах к предыдущему году,Zhambyl,90.3
2016,в процентах к предыдущему году,Karagandy,112.0
2016,в процентах к предыдущему году,Kostanay,104.4
2016,в процентах к предыдущему году,Kyzylorda,90.7
2016,в процентах к предыдущему году,Mangistau,100.5
2016,в процентах к предыдущему году,Ontustik Kazakhstan,107.1
2016,в процентах к предыдущему году,Pavlodar,97.6
2016,в процентах к предыдущему году,Soltustik Kazakhstan,89.1
2016,в процентах к предыдущему году,Shygys Kazakhstan,95.8
2016,в процентах к предыдущему году,Nur-Sultan city,100.5
2016,в процентах к предыдущему году,Almaty city,101.0
2017,в процентах к предыдущему году,,103.6
2017,в процентах к предыдущему году,Akmola,102.0
2017,в процентах к предыдущему году,Aktobe,108.7
2017,в процентах к предыдущему году,Almaty,84.8
2017,в процентах к предыдущему году,Atyrau,111.7
2017,в процентах к предыдущему году,Batys Kazakhstan,104.8
2017,в процентах к предыдущему году,Zhambyl,78.1
2017,в процентах к предыдущему году,Karagandy,105.5
2017,в процентах к предыдущему году,Kostanay,103.2
2017,в процентах к предыдущему году,Kyzylorda,111.3
2017,в процентах к предыдущему году,Mangistau,122.2
2017,в процентах к предыдущему году,Ontustik Kazakhstan,101.8
2017,в процентах к предыдущему году,Pavlodar,105.6
2017,в процентах к предыдущему году,Soltustik Kazakhstan,117.5
2017,в процентах к предыдущему году,Shygys Kazakhstan,105.4
2017,в процентах к предыдущему году,Nur-Sultan city,88.4
2017,в процентах к предыдущему году,Almaty city,106.2
2018,в процентах к предыдущему году,,104.7
2018,в процентах к предыдущему году,Akmola,105.7
2018,в процентах к предыдущему году,Aktobe,108.4
2018,в процентах к предыдущему году,Almaty,106.9
2018,в процентах к предыдущему году,Atyrau,108.7
2018,в процентах к предыдущему году,Batys Kazakhstan,112.1
2018,в процентах к предыдущему году,Zhambyl,105.8
2018,в процентах к предыдущему году,Karagandy,100.8
2018,в процентах к предыдущему году,Kostanay,103.2
2018,в процентах к предыдущему году,Kyzylorda,98.6
2018,в процентах к предыдущему году,Mangistau,106.0
2018,в процентах к предыдущему году,Pavlodar,106.1
2018,в процентах к предыдущему году,Soltustik Kazakhstan,91.0
2018,в процентах к предыдущему году,Turkistan,108.5
2018,в процентах к предыдущему году,Shygys Kazakhstan,112.1
2018,в процентах к предыдущему году,Nur-Sultan city,107.3
2018,в процентах к предыдущему году,Almaty city,103.9
2018,в процентах к предыдущему году,Shymkent city,116.4
2019,в процентах к предыдущему году,,104.0
2019,в процентах к предыдущему году,Akmola,98.3
2019,в процентах к предыдущему году,Aktobe,98.5
2019,в процентах к предыдущему году,Almaty,104.6
2019,в процентах к предыдущему году,Atyrau,107.3
2019,в процентах к предыдущему году,Batys Kazakhstan,107.5
2019,в процентах к предыдущему году,Zhambyl,111.0
2019,в процентах к предыдущему году,Karagandy,98.6
2019,в процентах к предыдущему году,Kostanay,129.3
2019,в процентах к предыдущему году,Kyzylorda,105.5
2019,в процентах к предыдущему году,Mangistau,87.5
2019,в процентах к предыдущему году,Pavlodar,101.7
2019,в процентах к предыдущему году,Soltustik Kazakhstan,103.0
2019,в процентах к предыдущему году,Turkistan,100.9
2019,в процентах к предыдущему году,Shygys Kazakhstan,108.8
2019,в процентах к предыдущему году,Nur-Sultan city,109.9
2019,в процентах к предыдущему году,Almaty city,104.6
2019,в процентах к предыдущему году,Shymkent city,115.5
