Year,Units,Official development assistance,Value
2010,millions of US dollars,Kazakhstan as beneficiary,1094.8
2011,millions of US dollars,Kazakhstan as beneficiary,1041.6
2012,millions of US dollars,Kazakhstan as beneficiary,787.3
2013,millions of US dollars,Kazakhstan as beneficiary,860.4
2014,millions of US dollars,Kazakhstan as beneficiary,1144.9
2015,millions of US dollars,Kazakhstan as beneficiary,586.0
2016,millions of US dollars,Kazakhstan as beneficiary,1382.7
2017,millions of US dollars,Kazakhstan as beneficiary,386.0
2013,millions of US dollars,Kazakhstan as donor,0.07
2014,millions of US dollars,Kazakhstan as donor,0.17
2015,millions of US dollars,Kazakhstan as donor,0.66
2016,millions of US dollars,Kazakhstan as donor,1.74
2017,millions of US dollars,Kazakhstan as donor,0.11
