Year,Units,Табыс,Жынысы,Аймақ,Өңірлер,GeoCode,Value
2011,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.1
2012,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.0
2013,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.0
2014,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.0
2015,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.0
2016,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.0
2017,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.0
2018,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,,,,0.0
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,1.2
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,1.0
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,0.6
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,0.4
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,0.6
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,0.4
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,0.4
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,,,,0.3
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,15.3
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,17.7
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,12.2
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,11.2
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,13.9
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,11.5
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,9.7
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,,,,7.4
2011,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.1
2012,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.0
2013,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.0
2014,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.0
2015,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.0
2016,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.0
2017,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.0
2018,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",ерлер,,,,0.0
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,1.2
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,1.1
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,0.6
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,0.4
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,0.6
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,0.4
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,0.3
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",ерлер,,,,0.3
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,15.9
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,18.4
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,12.6
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,11.7
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,14.5
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,12.1
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,10.0
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",ерлер,,,,7.6
2011,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.1
2012,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.0
2013,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.0
2014,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.0
2015,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.0
2016,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.0
2017,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.0
2018,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",әйелдер,,,,0.0
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,1.2
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,1.0
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,0.5
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,0.4
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,0.5
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,0.4
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,0.4
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",әйелдер,,,,0.3
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,14.7
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,17.1
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,11.8
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,10.8
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,13.4
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,11.0
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,9.4
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",әйелдер,,,,7.1
2011,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,қала,,,0.0
2012,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,қала,,,0.0
2013,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,қала,,,0.0
2014,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,қала,,,0.0
2017,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,қала,,,0.0
2011,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.4
2012,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.5
2013,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.3
2014,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.2
2015,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.2
2016,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.1
2017,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.1
2018,пайыз,"Күніне САҚП бойынша 3,2 АҚШ доллары",,қала,,,0.2
2011,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,9.0
2012,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,11.6
2013,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,7.4
2014,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,6.5
2015,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,8.5
2016,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,6.4
2017,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,5.7
2018,пайыз,"Күніне САҚП бойынша 5,5 АҚШ доллары",,қала,,,4.2
2011,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,ауыл,,,0.2
2012,пайыз,"Күніне САҚП бойынша 1,9 АҚШ доллары",,ауыл,,,0.1
