Year,Units,Өңірлер,Жынысы,GeoCode,Value
2012,пайыз,,,,6.08
2013,пайыз,,,,6.28
2014,пайыз,,,,6.38
2015,пайыз,,,,6.17
2016,пайыз,,,,5.95
2017,пайыз,,,,6.1
2018,пайыз,,,,5.95
2012,пайыз,Ақмола,,KZ03,7.33
2013,пайыз,Ақмола,,KZ03,7.36
2014,пайыз,Ақмола,,KZ03,7.24
2015,пайыз,Ақмола,,KZ03,7.22
2016,пайыз,Ақмола,,KZ03,7.3
2017,пайыз,Ақмола,,KZ03,7.6
2018,пайыз,Ақмола,,KZ03,7.41
2012,пайыз,Ақтөбе,,KZ04,3.2
2013,пайыз,Ақтөбе,,KZ04,7.17
2014,пайыз,Ақтөбе,,KZ04,7.09
2015,пайыз,Ақтөбе,,KZ04,7.03
2016,пайыз,Ақтөбе,,KZ04,7.01
2017,пайыз,Ақтөбе,,KZ04,6.33
2018,пайыз,Ақтөбе,,KZ04,6.33
2012,пайыз,Алматы,,KZ01,10.94
2013,пайыз,Алматы,,KZ01,11.23
2014,пайыз,Алматы,,KZ01,10.61
2015,пайыз,Алматы,,KZ01,10.83
2016,пайыз,Алматы,,KZ01,10.96
2017,пайыз,Алматы,,KZ01,10.93
2018,пайыз,Алматы,,KZ01,10.44
2012,пайыз,Атырау,,KZ06,3.11
2013,пайыз,Атырау,,KZ06,3.09
2014,пайыз,Атырау,,KZ06,3.09
2015,пайыз,Атырау,,KZ06,3.08
2016,пайыз,Атырау,,KZ06,3.07
2017,пайыз,Атырау,,KZ06,3.06
2018,пайыз,Атырау,,KZ06,3.06
2012,пайыз,Батыс Қазақстан,,KZ07,9.26
2013,пайыз,Батыс Қазақстан,,KZ07,10.19
2014,пайыз,Батыс Қазақстан,,KZ07,10.13
2015,пайыз,Батыс Қазақстан,,KZ07,10.11
2016,пайыз,Батыс Қазақстан,,KZ07,10.17
2017,пайыз,Батыс Қазақстан,,KZ07,10.24
2018,пайыз,Батыс Қазақстан,,KZ07,10.28
2012,пайыз,Жамбыл,,KZ17,3.9
2013,пайыз,Жамбыл,,KZ17,3.41
2014,пайыз,Жамбыл,,KZ17,4.47
2015,пайыз,Жамбыл,,KZ17,3.46
2016,пайыз,Жамбыл,,KZ17,3.53
2017,пайыз,Жамбыл,,KZ17,4.01
2018,пайыз,Жамбыл,,KZ17,4.05
2012,пайыз,Қарағанды,,KZ12,6.72
2013,пайыз,Қарағанды,,KZ12,6.71
2014,пайыз,Қарағанды,,KZ12,6.75
2015,пайыз,Қарағанды,,KZ12,6.75
2016,пайыз,Қарағанды,,KZ12,6.77
2017,пайыз,Қарағанды,,KZ12,6.81
2018,пайыз,Қарағанды,,KZ12,6.87
2012,пайыз,Қостанай,,KZ13,12.11
2013,пайыз,Қостанай,,KZ13,12.08
2014,пайыз,Қостанай,,KZ13,12.09
2015,пайыз,Қостанай,,KZ13,12.05
2016,пайыз,Қостанай,,KZ13,12.08
2017,пайыз,Қостанай,,KZ13,12.11
2018,пайыз,Қостанай,,KZ13,11.7
2012,пайыз,Қызылорда,,KZ14,2.97
2013,пайыз,Қызылорда,,KZ14,2.97
2014,пайыз,Қызылорда,,KZ14,2.98
2015,пайыз,Қызылорда,,KZ14,2.99
2016,пайыз,Қызылорда,,KZ14,3.03
2017,пайыз,Қызылорда,,KZ14,3.19
2018,пайыз,Қызылорда,,KZ14,3.22
2012,пайыз,Маңғыстау,,KZ09,1.18
2013,пайыз,Маңғыстау,,KZ09,1.24
2014,пайыз,Маңғыстау,,KZ09,1.23
2015,пайыз,Маңғыстау,,KZ09,1.24
2016,пайыз,Маңғыстау,,KZ09,1.25
2017,пайыз,Маңғыстау,,KZ09,0.83
2018,пайыз,Маңғыстау,,KZ09,0.81
2012,пайыз,Түркістан,,KZ10,6.26
2013,пайыз,Түркістан,,KZ10,6.17
2014,пайыз,Түркістан,,KZ10,6.53
2015,пайыз,Түркістан,,KZ10,6.47
2016,пайыз,Түркістан,,KZ10,6.22
2017,пайыз,Түркістан,,KZ10,6.19
2018,пайыз,Түркістан,,KZ10,15.27
2012,пайыз,Павлодар,,KZ11,10.56
2013,пайыз,Павлодар,,KZ11,10.49
2014,пайыз,Павлодар,,KZ11,10.31
2015,пайыз,Павлодар,,KZ11,10.34
2016,пайыз,Павлодар,,KZ11,10.27
2017,пайыз,Павлодар,,KZ11,10.34
2018,пайыз,Павлодар,,KZ11,13.85
2012,пайыз,Солтүстік Қазақстан,,KZ16,8.0
2013,пайыз,Солтүстік Қазақстан,,KZ16,8.12
2014,пайыз,Солтүстік Қазақстан,,KZ16,8.19
2015,пайыз,Солтүстік Қазақстан,,KZ16,8.32
2016,пайыз,Солтүстік Қазақстан,,KZ16,3.41
2017,пайыз,Солтүстік Қазақстан,,KZ16,8.35
2018,пайыз,Солтүстік Қазақстан,,KZ16,3.14
2012,пайыз,Шығыс Қазақстан,,KZ15,6.75
2013,пайыз,Шығыс Қазақстан,,KZ15,6.77
2014,пайыз,Шығыс Қазақстан,,KZ15,8.25
2015,пайыз,Шығыс Қазақстан,,KZ15,6.92
2016,пайыз,Шығыс Қазақстан,,KZ15,6.92
2017,пайыз,Шығыс Қазақстан,,KZ15,7.2
2018,пайыз,Шығыс Қазақстан,,KZ15,8.76
2012,пайыз,,ерлер,,8.99
2013,пайыз,,ерлер,,9.21
2014,пайыз,,ерлер,,9.71
2015,пайыз,,ерлер,,9.29
2016,пайыз,,ерлер,,9.22
2017,пайыз,,ерлер,,10.44
2018,пайыз,,ерлер,,9.7
2012,пайыз,Ақмола,ерлер,,9.99
2013,пайыз,Ақмола,ерлер,,10.07
2014,пайыз,Ақмола,ерлер,,9.84
2015,пайыз,Ақмола,ерлер,,9.8
2016,пайыз,Ақмола,ерлер,,9.96
2017,пайыз,Ақмола,ерлер,,12.39
2018,пайыз,Ақмола,ерлер,,12.43
2012,пайыз,Ақтөбе,ерлер,,4.72
2013,пайыз,Ақтөбе,ерлер,,8.57
2014,пайыз,Ақтөбе,ерлер,,8.46
2015,пайыз,Ақтөбе,ерлер,,8.38
2016,пайыз,Ақтөбе,ерлер,,8.37
2017,пайыз,Ақтөбе,ерлер,,6.97
2018,пайыз,Ақтөбе,ерлер,,6.99
