Year,Units,Государственные расходы,Value
2010,пайыз,,12.879391290466547
2010,пайыз,Білім беру,15.032089223853678
2010,пайыз,Денсаулық сақтау,10.660044936937348
2010,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,17.38849914962006
2010,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",4.674086755666627
2011,пайыз,,10.970942137064547
2011,пайыз,Білім беру,16.23256845259948
2011,пайыз,Денсаулық сақтау,9.975881694668443
2011,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,18.064847120379625
2011,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.8300772837431136
2012,пайыз,,11.271790081687813
2012,пайыз,Білім беру,17.07888868536047
2012,пайыз,Денсаулық сақтау,10.319878786139665
2012,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,17.48680903801979
2012,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.3915565940129597
2013,пайыз,,10.43330055387468
2013,пайыз,Білім беру,16.568206430718003
2013,пайыз,Денсаулық сақтау,10.647535033998695
2013,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,18.48133051393149
2013,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.463042162946373
2014,пайыз,,10.152958581524668
2014,пайыз,Білім беру,15.424364985315778
2014,пайыз,Денсаулық сақтау,9.748240132586089
2014,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,17.791499894678328
2014,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.37623205254963
2015,пайыз,,10.386638926724082
2015,пайыз,Білім беру,15.258626583138973
2015,пайыз,Денсаулық сақтау,9.656987925385259
2015,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,19.26925098648875
2015,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.2839218769063483
2016,пайыз,,10.747463290098189
2016,пайыз,Білім беру,15.931042556063163
2016,пайыз,Денсаулық сақтау,9.895937099282245
2016,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,19.113938565429027
2016,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.1091632412556818
2017,пайыз,,10.697367054408646
2017,пайыз,Білім беру,13.635310645432458
2017,пайыз,Денсаулық сақтау,8.343091441308449
2017,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,17.07748057738184
2017,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",2.946921260688909
2018,пайыз,,10.760017273646314
2018,пайыз,Білім беру,15.860502347640647
2018,пайыз,Денсаулық сақтау,9.549610680038716
2018,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,22.41523862222382
2018,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.656790741491672
2019,пайыз,,11.155350942031436
2019,пайыз,Білім беру,15.593223681390448
2019,пайыз,Денсаулық сақтау,8.637585927722133
2019,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,23.19304499666612
2019,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",3.0504011577207844
