Year,Units,Ресми даму бойынша көмек,Value
2010,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,948.3
2011,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,3166.8
2012,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,932.5
2013,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,4586.1
2013,млн.долл.США,Қазақстан бойынша деректер донор ретінде,8.5
2014,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,1892.8
2014,млн.долл.США,Қазақстан бойынша деректер донор ретінде,33.4
2015,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,4428.9
2015,млн.долл.США,Қазақстан бойынша деректер донор ретінде,43.0
2016,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,418.7
2016,млн.долл.США,Қазақстан бойынша деректер донор ретінде,30.8
2017,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,-3796.5
2017,млн.долл.США,Қазақстан бойынша деректер донор ретінде,35.2
2018,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,-8163.7
2018,млн.долл.США,Қазақстан бойынша деректер донор ретінде,4034.0
