Year,Units,Төтенше жағдайлар құрбандары,Өңірлер,Жынысы,Value
2010,адам,зардап шеккен,,,145.0
2011,адам,зардап шеккен,,,12.0
2012,адам,зардап шеккен,,,20.0
2013,адам,зардап шеккен,,,12.0
2014,адам,зардап шеккен,,,19.0
2015,адам,зардап шеккен,,,8.0
2016,адам,зардап шеккен,,,8.0
2017,адам,зардап шеккен,,,35.0
2018,адам,зардап шеккен,,,8.0
2010,100 000 адамға,зардап шеккен,,,0.00145
2011,100 000 адамға,зардап шеккен,,,0.00011999999999999999
2012,100 000 адамға,зардап шеккен,,,0.0002
2013,100 000 адамға,зардап шеккен,,,0.00011999999999999999
2014,100 000 адамға,зардап шеккен,,,0.00018999999999999998
2015,100 000 адамға,зардап шеккен,,,8e-05
2016,100 000 адамға,зардап шеккен,,,8e-05
2017,100 000 адамға,зардап шеккен,,,0.00035
2018,100 000 адамға,зардап шеккен,,,8e-05
2010,адам,в т.ч. погибло,,,53.0
2011,адам,в т.ч. погибло,,,5.0
2012,адам,в т.ч. погибло,,,15.0
2013,адам,в т.ч. погибло,,,3.0
2014,адам,в т.ч. погибло,,,9.0
2016,адам,в т.ч. погибло,,,1.0
2017,адам,в т.ч. погибло,,,11.0
2018,адам,в т.ч. погибло,,,1.0
2010,100 000 адамға,в т.ч. погибло,,,0.00053
2011,100 000 адамға,в т.ч. погибло,,,5e-05
2012,100 000 адамға,в т.ч. погибло,,,0.00015
2013,100 000 адамға,в т.ч. погибло,,,2.9999999999999997e-05
2014,100 000 адамға,в т.ч. погибло,,,9e-05
2016,100 000 адамға,в т.ч. погибло,,,1e-05
2017,100 000 адамға,в т.ч. погибло,,,0.00011
2018,100 000 адамға,в т.ч. погибло,,,1e-05
2017,адам,зардап шеккен,Ақмола,,2.0
2017,адам,зардап шеккен,Ақмола,ерлер,1.0
2017,адам,зардап шеккен,Ақмола,әйелдер,1.0
2010,адам,зардап шеккен,Ақтөбе,,3.0
2010,адам,зардап шеккен,Ақтөбе,ерлер,2.0
2010,адам,зардап шеккен,Ақтөбе,жещины,1.0
2010,адам,в т.ч. погибло,Ақтөбе,,3.0
2010,адам,в т.ч. погибло,Ақтөбе,ерлер,2.0
2010,адам,в т.ч. погибло,Ақтөбе,әйелдер,1.0
2011,адам,зардап шеккен,Ақтөбе,,1.0
2011,адам,зардап шеккен,Ақтөбе,ерлер,1.0
2011,адам,в т.ч. погибло,Ақтөбе,,1.0
2011,адам,в т.ч. погибло,Ақтөбе,ерлер,1.0
