Year,Units,Браконьерлік,Өңірлер,GeoCode,Value
2012,саны,бұзушылықтар анықталды,,,7480.0
2013,саны,бұзушылықтар анықталды,,,6455.0
2014,саны,бұзушылықтар анықталды,,,5895.0
2015,саны,бұзушылықтар анықталды,,,6555.0
2016,саны,бұзушылықтар анықталды,,,5782.0
2017,саны,бұзушылықтар анықталды,,,4514.0
2018,саны,бұзушылықтар анықталды,,,4735.0
2012,млн.теңге,сомаға салынған айыппұлдар,,,32.6
2013,млн.теңге,сомаға салынған айыппұлдар,,,32.6
2014,млн.теңге,сомаға салынған айыппұлдар,,,56.0
2015,млн.теңге,сомаға салынған айыппұлдар,,,87.2
2016,млн.теңге,сомаға салынған айыппұлдар,,,91.5
2017,млн.теңге,сомаға салынған айыппұлдар,,,78.4
2018,млн.теңге,сомаға салынған айыппұлдар,,,63.8
2012,млн.теңге,өнідір алынған,,,29.2
2013,млн.теңге,өнідір алынған,,,29.1
2014,млн.теңге,өнідір алынған,,,38.5
2015,млн.теңге,өнідір алынған,,,53.0
2016,млн.теңге,өнідір алынған,,,66.4
2017,млн.теңге,өнідір алынған,,,60.5
2018,млн.теңге,өнідір алынған,,,70.4
2012,саны,бұзушылықтар анықталды,Ақмола,,53.0
2013,саны,бұзушылықтар анықталды,Ақмола,,78.0
2014,саны,бұзушылықтар анықталды,Ақмола,,71.0
2015,саны,бұзушылықтар анықталды,Ақмола,,195.0
2016,саны,бұзушылықтар анықталды,Ақмола,,371.0
2017,саны,бұзушылықтар анықталды,Ақмола,,305.0
2018,саны,бұзушылықтар анықталды,Ақмола,,310.0
2015,млн.теңге,сомаға салынған айыппұлдар,Ақмола,,1.7
2016,млн.теңге,сомаға салынған айыппұлдар,Ақмола,,4.7
2017,млн.теңге,сомаға салынған айыппұлдар,Ақмола,,3.6
2018,млн.теңге,сомаға салынған айыппұлдар,Ақмола,,4.1
2015,млн.теңге,өнідір алынған,Ақмола,,1.6
2016,млн.теңге,өнідір алынған,Ақмола,,3.6
2017,млн.теңге,өнідір алынған,Ақмола,,3.1
2018,млн.теңге,өнідір алынған,Ақмола,,3.8
2012,саны,бұзушылықтар анықталды,Ақтөбе,,212.0
2013,саны,бұзушылықтар анықталды,Ақтөбе,,178.0
2014,саны,бұзушылықтар анықталды,Ақтөбе,,114.0
2015,саны,бұзушылықтар анықталды,Ақтөбе,,98.0
2016,саны,бұзушылықтар анықталды,Ақтөбе,,113.0
2017,саны,бұзушылықтар анықталды,Ақтөбе,,111.0
2018,саны,бұзушылықтар анықталды,Ақтөбе,,103.0
2012,млн.теңге,сомаға салынған айыппұлдар,Ақтөбе,,1.1
2013,млн.теңге,сомаға салынған айыппұлдар,Ақтөбе,,1.0
2015,млн.теңге,сомаға салынған айыппұлдар,Ақтөбе,,1.2
2016,млн.теңге,сомаға салынған айыппұлдар,Ақтөбе,,1.5
2017,млн.теңге,сомаға салынған айыппұлдар,Ақтөбе,,1.5
2018,млн.теңге,сомаға салынған айыппұлдар,Ақтөбе,,1.4
2012,млн.теңге,өнідір алынған,Ақтөбе,,1.0
2016,млн.теңге,өнідір алынған,Ақтөбе,,1.3
2017,млн.теңге,өнідір алынған,Ақтөбе,,1.4
2018,млн.теңге,өнідір алынған,Ақтөбе,,1.4
2012,саны,бұзушылықтар анықталды,Алматы,,889.0
2013,саны,бұзушылықтар анықталды,Алматы,,987.0
2014,саны,бұзушылықтар анықталды,Алматы,,470.0
2015,саны,бұзушылықтар анықталды,Алматы,,555.0
2016,саны,бұзушылықтар анықталды,Алматы,,550.0
2017,саны,бұзушылықтар анықталды,Алматы,,548.0
2018,саны,бұзушылықтар анықталды,Алматы,,385.0
2012,млн.теңге,сомаға салынған айыппұлдар,Алматы,,5.9
2013,млн.теңге,сомаға салынған айыппұлдар,Алматы,,8.1
2014,млн.теңге,сомаға салынған айыппұлдар,Алматы,,5.2
2015,млн.теңге,сомаға салынған айыппұлдар,Алматы,,8.4
2016,млн.теңге,сомаға салынған айыппұлдар,Алматы,,8.4
2017,млн.теңге,сомаға салынған айыппұлдар,Алматы,,9.0
2018,млн.теңге,сомаға салынған айыппұлдар,Алматы,,6.0
2012,млн.теңге,өнідір алынған,Алматы,,5.5
2013,млн.теңге,өнідір алынған,Алматы,,7.7
2014,млн.теңге,өнідір алынған,Алматы,,3.6
2015,млн.теңге,өнідір алынған,Алматы,,6.8
2016,млн.теңге,өнідір алынған,Алматы,,7.4
2017,млн.теңге,өнідір алынған,Алматы,,7.4
2018,млн.теңге,өнідір алынған,Алматы,,5.8
2012,саны,бұзушылықтар анықталды,Атырау,,2747.0
2013,саны,бұзушылықтар анықталды,Атырау,,1938.0
2014,саны,бұзушылықтар анықталды,Атырау,,2062.0
2015,саны,бұзушылықтар анықталды,Атырау,,1788.0
2016,саны,бұзушылықтар анықталды,Атырау,,1644.0
2017,саны,бұзушылықтар анықталды,Атырау,,406.0
2018,саны,бұзушылықтар анықталды,Атырау,,244.0
2012,млн.теңге,сомаға салынған айыппұлдар,Атырау,,7.3
2013,млн.теңге,сомаға салынған айыппұлдар,Атырау,,6.5
2014,млн.теңге,сомаға салынған айыппұлдар,Атырау,,5.9
2015,млн.теңге,сомаға салынған айыппұлдар,Атырау,,29.3
2016,млн.теңге,сомаға салынған айыппұлдар,Атырау,,33.2
2017,млн.теңге,сомаға салынған айыппұлдар,Атырау,,15.4
2018,млн.теңге,сомаға салынған айыппұлдар,Атырау,,8.3
2012,млн.теңге,өнідір алынған,Атырау,,5.9
2013,млн.теңге,өнідір алынған,Атырау,,5.1
2014,млн.теңге,өнідір алынған,Атырау,,5.5
2015,млн.теңге,өнідір алынған,Атырау,,18.9
2016,млн.теңге,өнідір алынған,Атырау,,18.6
2017,млн.теңге,өнідір алынған,Атырау,,8.9
2018,млн.теңге,өнідір алынған,Атырау,,7.4
2012,саны,бұзушылықтар анықталды,Шығыс Қазақстан,,934.0
2013,саны,бұзушылықтар анықталды,Шығыс Қазақстан,,839.0
2014,саны,бұзушылықтар анықталды,Шығыс Қазақстан,,763.0
2015,саны,бұзушылықтар анықталды,Шығыс Қазақстан,,1159.0
2016,саны,бұзушылықтар анықталды,Шығыс Қазақстан,,904.0
2017,саны,бұзушылықтар анықталды,Шығыс Қазақстан,,975.0
2018,саны,бұзушылықтар анықталды,Шығыс Қазақстан,,968.0
2012,млн.теңге,сомаға салынған айыппұлдар,Шығыс Қазақстан,,4.4
2013,млн.теңге,сомаға салынған айыппұлдар,Шығыс Қазақстан,,3.5
2014,млн.теңге,сомаға салынған айыппұлдар,Шығыс Қазақстан,,8.4
2015,млн.теңге,сомаға салынған айыппұлдар,Шығыс Қазақстан,,16.3
2016,млн.теңге,сомаға салынған айыппұлдар,Шығыс Қазақстан,,16.0
2017,млн.теңге,сомаға салынған айыппұлдар,Шығыс Қазақстан,,17.6
2018,млн.теңге,сомаға салынған айыппұлдар,Шығыс Қазақстан,,16.3
2012,млн.теңге,өнідір алынған,Шығыс Қазақстан,,4.3
2013,млн.теңге,өнідір алынған,Шығыс Қазақстан,,3.1
2014,млн.теңге,өнідір алынған,Шығыс Қазақстан,,6.7
2015,млн.теңге,өнідір алынған,Шығыс Қазақстан,,11.2
2016,млн.теңге,өнідір алынған,Шығыс Қазақстан,,11.1
2017,млн.теңге,өнідір алынған,Шығыс Қазақстан,,12.7
2018,млн.теңге,өнідір алынған,Шығыс Қазақстан,,14.8
2012,саны,бұзушылықтар анықталды,Жамбыл,,170.0
2013,саны,бұзушылықтар анықталды,Жамбыл,,8.0
2014,саны,бұзушылықтар анықталды,Жамбыл,,21.0
2015,саны,бұзушылықтар анықталды,Жамбыл,,266.0
2016,саны,бұзушылықтар анықталды,Жамбыл,,146.0
2017,саны,бұзушылықтар анықталды,Жамбыл,,210.0
2018,саны,бұзушылықтар анықталды,Жамбыл,,247.0
2012,млн.теңге,сомаға салынған айыппұлдар,Жамбыл,,8.4
2015,млн.теңге,сомаға салынған айыппұлдар,Жамбыл,,3.3
2016,млн.теңге,сомаға салынған айыппұлдар,Жамбыл,,1.8
2017,млн.теңге,сомаға салынған айыппұлдар,Жамбыл,,2.5
2018,млн.теңге,сомаға салынған айыппұлдар,Жамбыл,,4.6
2015,млн.теңге,өнідір алынған,Жамбыл,,2.2
2016,млн.теңге,өнідір алынған,Жамбыл,,1.5
2017,млн.теңге,өнідір алынған,Жамбыл,,2.2
2018,млн.теңге,өнідір алынған,Жамбыл,,3.6
2012,саны,бұзушылықтар анықталды,Батыс Қазақстан,,322.0
2013,саны,бұзушылықтар анықталды,Батыс Қазақстан,,483.0
2014,саны,бұзушылықтар анықталды,Батыс Қазақстан,,527.0
2015,саны,бұзушылықтар анықталды,Батыс Қазақстан,,240.0
2016,саны,бұзушылықтар анықталды,Батыс Қазақстан,,236.0
2017,саны,бұзушылықтар анықталды,Батыс Қазақстан,,242.0
2018,саны,бұзушылықтар анықталды,Батыс Қазақстан,,291.0
2012,млн.теңге,сомаға салынған айыппұлдар,Батыс Қазақстан,,1.5
2013,млн.теңге,сомаға салынған айыппұлдар,Батыс Қазақстан,,2.3
2014,млн.теңге,сомаға салынған айыппұлдар,Батыс Қазақстан,,2.9
2015,млн.теңге,сомаға салынған айыппұлдар,Батыс Қазақстан,,2.8
2016,млн.теңге,сомаға салынған айыппұлдар,Батыс Қазақстан,,3.1
2017,млн.теңге,сомаға салынған айыппұлдар,Батыс Қазақстан,,3.6
2018,млн.теңге,сомаға салынған айыппұлдар,Батыс Қазақстан,,3.8
2012,млн.теңге,өнідір алынған,Батыс Қазақстан,,1.4
2013,млн.теңге,өнідір алынған,Батыс Қазақстан,,1.9
2014,млн.теңге,өнідір алынған,Батыс Қазақстан,,2.3
2015,млн.теңге,өнідір алынған,Батыс Қазақстан,,2.4
2016,млн.теңге,өнідір алынған,Батыс Қазақстан,,2.7
2017,млн.теңге,өнідір алынған,Батыс Қазақстан,,3.2
2018,млн.теңге,өнідір алынған,Батыс Қазақстан,,3.5
2012,саны,бұзушылықтар анықталды,Қарағанды,,286.0
2013,саны,бұзушылықтар анықталды,Қарағанды,,294.0
2014,саны,бұзушылықтар анықталды,Қарағанды,,289.0
2015,саны,бұзушылықтар анықталды,Қарағанды,,212.0
2016,саны,бұзушылықтар анықталды,Қарағанды,,239.0
2017,саны,бұзушылықтар анықталды,Қарағанды,,327.0
2018,саны,бұзушылықтар анықталды,Қарағанды,,341.0
2012,млн.теңге,сомаға салынған айыппұлдар,Қарағанды,,1.4
2013,млн.теңге,сомаға салынған айыппұлдар,Қарағанды,,1.6
2014,млн.теңге,сомаға салынған айыппұлдар,Қарағанды,,1.8
2015,млн.теңге,сомаға салынған айыппұлдар,Қарағанды,,2.3
2016,млн.теңге,сомаға салынған айыппұлдар,Қарағанды,,2.9
2017,млн.теңге,сомаға салынған айыппұлдар,Қарағанды,,4.6
2018,млн.теңге,сомаға салынған айыппұлдар,Қарағанды,,4.8
2012,млн.теңге,өнідір алынған,Қарағанды,,1.1
2013,млн.теңге,өнідір алынған,Қарағанды,,1.2
2014,млн.теңге,өнідір алынған,Қарағанды,,1.4
2015,млн.теңге,өнідір алынған,Қарағанды,,1.9
2016,млн.теңге,өнідір алынған,Қарағанды,,2.3
2017,млн.теңге,өнідір алынған,Қарағанды,,3.7
2018,млн.теңге,өнідір алынған,Қарағанды,,4.4
2012,саны,бұзушылықтар анықталды,Қостанай,,166.0
2013,саны,бұзушылықтар анықталды,Қостанай,,181.0
2014,саны,бұзушылықтар анықталды,Қостанай,,120.0
2015,саны,бұзушылықтар анықталды,Қостанай,,540.0
2016,саны,бұзушылықтар анықталды,Қостанай,,183.0
2017,саны,бұзушылықтар анықталды,Қостанай,,226.0
2018,саны,бұзушылықтар анықталды,Қостанай,,219.0
2012,млн.теңге,сомаға салынған айыппұлдар,Қостанай,,1.0
2015,млн.теңге,сомаға салынған айыппұлдар,Қостанай,,6.7
2016,млн.теңге,сомаға салынған айыппұлдар,Қостанай,,2.8
2017,млн.теңге,сомаға салынған айыппұлдар,Қостанай,,3.0
2018,млн.теңге,сомаға салынған айыппұлдар,Қостанай,,4.0
2015,млн.теңге,өнідір алынған,Қостанай,,5.3
2016,млн.теңге,өнідір алынған,Қостанай,,2.5
2017,млн.теңге,өнідір алынған,Қостанай,,2.6
2018,млн.теңге,өнідір алынған,Қостанай,,2.6
2012,саны,бұзушылықтар анықталды,Қызылорда,,629.0
2013,саны,бұзушылықтар анықталды,Қызылорда,,440.0
2014,саны,бұзушылықтар анықталды,Қызылорда,,451.0
2015,саны,бұзушылықтар анықталды,Қызылорда,,502.0
2016,саны,бұзушылықтар анықталды,Қызылорда,,479.0
2017,саны,бұзушылықтар анықталды,Қызылорда,,236.0
2018,саны,бұзушылықтар анықталды,Қызылорда,,733.0
2012,млн.теңге,сомаға салынған айыппұлдар,Қызылорда,,3.0
2013,млн.теңге,сомаға салынған айыппұлдар,Қызылорда,,2.2
2014,млн.теңге,сомаға салынған айыппұлдар,Қызылорда,,3.6
2015,млн.теңге,сомаға салынған айыппұлдар,Қызылорда,,7.0
2016,млн.теңге,сомаға салынған айыппұлдар,Қызылорда,,5.9
2017,млн.теңге,сомаға салынған айыппұлдар,Қызылорда,,5.1
2018,млн.теңге,сомаға салынған айыппұлдар,Қызылорда,,13.2
2012,млн.теңге,өнідір алынған,Қызылорда,,2.8
2013,млн.теңге,өнідір алынған,Қызылорда,,2.1
2014,млн.теңге,өнідір алынған,Қызылорда,,2.7
2015,млн.теңге,өнідір алынған,Қызылорда,,5.5
2016,млн.теңге,өнідір алынған,Қызылорда,,5.5
2017,млн.теңге,өнідір алынған,Қызылорда,,4.4
2018,млн.теңге,өнідір алынған,Қызылорда,,11.0
2012,саны,бұзушылықтар анықталды,Маңғыстау,,224.0
2013,саны,бұзушылықтар анықталды,Маңғыстау,,232.0
2014,саны,бұзушылықтар анықталды,Маңғыстау,,230.0
2015,саны,бұзушылықтар анықталды,Маңғыстау,,122.0
2016,саны,бұзушылықтар анықталды,Маңғыстау,,153.0
2017,саны,бұзушылықтар анықталды,Маңғыстау,,190.0
2018,саны,бұзушылықтар анықталды,Маңғыстау,,151.0
2012,млн.теңге,сомаға салынған айыппұлдар,Маңғыстау,,1.1
