Year,Units,Қауіпсіздік дәрежесі,Аймақ,Жынысы,ұлты,Жасы,Value
2016,пайыз,толық қауіпсіз,,,,,42.4
2016,пайыз,жеткілікті қауіпсіз,,,,,48.7
2016,пайыз,қауіпсіз емес,,,,,8.9
2016,пайыз,толық қауіпсіз,городская местность,,,,38.0
2016,пайыз,жеткілікті қауіпсіз,городская местность,,,,52.8
2016,пайыз,қауіпсіз емес,городская местность,,,,9.2
2016,пайыз,толық қауіпсіз,сельская местность,,,,48.5
2016,пайыз,жеткілікті қауіпсіз,сельская местность,,,,42.9
2016,пайыз,қауіпсіз емес,сельская местность,,,,8.6
2016,пайыз,толық қауіпсіз,,ерлер,,,48.2
2016,пайыз,жеткілікті қауіпсіз,,ерлер,,,45.4
2016,пайыз,қауіпсіз емес,,ерлер,,,6.4
2016,пайыз,толық қауіпсіз,,әйелдер,,,37.1
2016,пайыз,жеткілікті қауіпсіз,,әйелдер,,,51.7
2016,пайыз,қауіпсіз емес,,әйелдер,,,11.2
2016,пайыз,толық қауіпсіз,,,Қазақтар,,46.9
2016,пайыз,жеткілікті қауіпсіз,,,Қазақтар,,45.5
2016,пайыз,қауіпсіз емес,,,Қазақтар,,7.6
2016,пайыз,толық қауіпсіз,,,Орыстар,,34.5
2016,пайыз,жеткілікті қауіпсіз,,,Орыстар,,54.1
2016,пайыз,қауіпсіз емес,,,Орыстар,,11.4
2016,пайыз,толық қауіпсіз,,,Өзбектер,,48.5
2016,пайыз,жеткілікті қауіпсіз,,,Өзбектер,,44.6
2016,пайыз,қауіпсіз емес,,,Өзбектер,,6.9
2016,пайыз,толық қауіпсіз,,,Украиндар,,33.7
2016,пайыз,жеткілікті қауіпсіз,,,Украиндар,,52.2
2016,пайыз,қауіпсіз емес,,,Украиндар,,14.1
2016,пайыз,толық қауіпсіз,,,Ұйғырлар,,26.1
2016,пайыз,жеткілікті қауіпсіз,,,Ұйғырлар,,60.5
2016,пайыз,қауіпсіз емес,,,Ұйғырлар,,13.4
2016,пайыз,толық қауіпсіз,,,басқа ұлттар,,34.1
2016,пайыз,жеткілікті қауіпсіз,,,басқа ұлттар,,56.0
2016,пайыз,қауіпсіз емес,,,басқа ұлттар,,9.8
2016,пайыз,толық қауіпсіз,,,,15-19,41.6
2016,пайыз,жеткілікті қауіпсіз,,,,15-19,45.0
2016,пайыз,қауіпсіз емес,,,,15-19,13.4
2016,пайыз,толық қауіпсіз,,,,20-24,47.8
2016,пайыз,жеткілікті қауіпсіз,,,,20-24,45.6
2016,пайыз,қауіпсіз емес,,,,20-24,6.5
2016,пайыз,толық қауіпсіз,,,,25-29,44.5
2016,пайыз,жеткілікті қауіпсіз,,,,25-29,48.7
2016,пайыз,қауіпсіз емес,,,,25-29,6.8
2016,пайыз,толық қауіпсіз,,,,30-34,44.5
2016,пайыз,жеткілікті қауіпсіз,,,,30-34,48.3
2016,пайыз,қауіпсіз емес,,,,30-34,7.2
2016,пайыз,толық қауіпсіз,,,,35-39,41.9
2016,пайыз,жеткілікті қауіпсіз,,,,35-39,50.9
2016,пайыз,қауіпсіз емес,,,,35-39,7.1
2016,пайыз,толық қауіпсіз,,,,40-44,41.1
2016,пайыз,жеткілікті қауіпсіз,,,,40-44,51.1
2016,пайыз,қауіпсіз емес,,,,40-44,7.8
2016,пайыз,толық қауіпсіз,,,,45-49,45.0
2016,пайыз,жеткілікті қауіпсіз,,,,45-49,46.5
2016,пайыз,қауіпсіз емес,,,,45-49,8.5
2016,пайыз,толық қауіпсіз,,,,50-54,42.7
2016,пайыз,жеткілікті қауіпсіз,,,,50-54,49.7
2016,пайыз,қауіпсіз емес,,,,50-54,7.6
2016,пайыз,толық қауіпсіз,,,,55-59,41.5
2016,пайыз,жеткілікті қауіпсіз,,,,55-59,49.3
2016,пайыз,қауіпсіз емес,,,,55-59,9.2
2016,пайыз,толық қауіпсіз,,,,60+,35.0
2016,пайыз,жеткілікті қауіпсіз,,,,60+,51.1
2016,пайыз,қауіпсіз емес,,,,60+,14.0
