Year,Units,Аймақ,Жынысы,Жасы,Өңірлер,Value
2015,пайыз,,,,,52.7
2015,пайыз,қала,,,,51.7
2015,пайыз,ауыл,,,,53.5
2015,пайыз,,ұлдар,,,55.2
2015,пайыз,,қыздар,,,49.9
2015,пайыз,,,1-2,,38.3
2015,пайыз,,,3-4,,53.2
2015,пайыз,,,5-9,,57.8
2015,пайыз,,,10-14,,53.9
2015,пайыз,,,,Ақмола,38.6
2015,пайыз,,,,Ақтөбе,30.2
2015,пайыз,,,,Алматы,65.0
2015,пайыз,,,,Атырау,59.9
2015,пайыз,,,,Батыс Қазақстан,42.7
2015,пайыз,,,,Жамбыл,67.0
2015,пайыз,,,,Қарағанды,47.1
2015,пайыз,,,,Қостанай,65.4
2015,пайыз,,,,Қызылорда,41.9
2015,пайыз,,,,Маңғыстау,65.1
2015,пайыз,,,,Оңтүстік Қазақстан,53.6
2015,пайыз,,,,Павлодар,60.1
2015,пайыз,,,,Солтүстік Қазақстан,41.1
2015,пайыз,,,,Шығыс Қазақстан,47.1
2015,пайыз,,,,Нұр-Сұлтан қаласы,64.2
2015,пайыз,,,,Алматы қаласы,38.4
