Year,Units,Ресми даму бойынша көмек,Value
2010,млн.долл.США,Қазақстан-алушы,459.11920599999996
2011,млн.долл.США,Қазақстан-алушы,140.796046
2012,млн.долл.США,Қазақстан-алушы,64.973739
2013,млн.долл.США,Қазақстан-алушы,67.695702
2013,млн.долл.США,Қазақстан-донор,0.080092
2014,млн.долл.США,Қазақстан-алушы,236.623382
2014,млн.долл.США,Қазақстан-донор,9.33595
2015,млн.долл.США,Қазақстан-алушы,477.36227599999995
2015,млн.долл.США,Қазақстан-донор,11.912603
2016,млн.долл.США,Қазақстан-алушы,1025.859048
2016,млн.долл.США,Қазақстан-донор,10.298983
2017,млн.долл.США,Қазақстан-алушы,184.107148
2017,млн.долл.США,Қазақстан-донор,9.761301
