Year,Units,Интернет жылдамдығы,Өңірлер,GeoCode,Value
2012,мың бірлік,,,,1607.2
2013,мың бірлік,,,,1976.0
2014,мың бірлік,,,,2100.9
2015,мың бірлік,,,,2305.6
2016,мың бірлік,,,,2352.7
2017,мың бірлік,,,,2576.0
2018,мың бірлік,,,,2462.9
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,,,470.195
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,,,294.003
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,,,264.203
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,,,271.616
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,,,197.44400000000002
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,,,71.335
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,,,84.9
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақмола,,19.468
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақмола,,20.878
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақмола,,16.415
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақмола,,14.047
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақмола,,4.012
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақмола,,3.766
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақмола,,3.8
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақтөбе,,14.825999999999999
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақтөбе,,15.75
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақтөбе,,9.793
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақтөбе,,11.46
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақтөбе,,11.09
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақтөбе,,3.155
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Ақтөбе,,1.9
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы,,70.115
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы,,11.16
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы,,12.443
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы,,9.573
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы,,8.89
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы,,1.151
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы,,1.2
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Атырау,,9.308
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Атырау,,10.237
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Атырау,,7.147
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Атырау,,7.029
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Атырау,,6.225
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Атырау,,4.189
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Атырау,,1.2
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Батыс Қазақстан,,11.562000000000001
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Батыс Қазақстан,,10.052999999999999
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Батыс Қазақстан,,10.209
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Батыс Қазақстан,,8.173
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Батыс Қазақстан,,4.268
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Батыс Қазақстан,,1.5530000000000002
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Батыс Қазақстан,,0.7
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Жамбыл,,14.034
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Жамбыл,,13.074000000000002
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Жамбыл,,12.887
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Жамбыл,,10.63
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Жамбыл,,3.6180000000000003
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Жамбыл,,0.777
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Жамбыл,,1.2
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қарағанды,,96.1
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қарағанды,,23.241
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қарағанды,,15.550999999999998
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қарағанды,,15.595999999999998
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қарағанды,,8.232000000000001
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қарағанды,,1.607
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қарағанды,,5.7
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қостанай,,17.007
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қостанай,,15.762
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қостанай,,15.607000000000001
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қостанай,,19.965
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Қостанай,,19.779
