Year,Units,Аймақ,Жынысы,Өңірлер,GeoCode,Value
2011,пайыз,,,,,50.6
2012,пайыз,,,,,61.90662401932264
2013,пайыз,,,,,63.3
2014,пайыз,,,,,63.9
2015,пайыз,,,,,72.8660129673921
2016,пайыз,,,,,76.8
2017,пайыз,,,,,78.8
2018,пайыз,,,,,81.3
2011,пайыз,городское население,,,,60.4
2012,пайыз,городское население,,,,73.9
2013,пайыз,городское население,,,,73.2
2014,пайыз,городское население,,,,72.6
2015,пайыз,городское население,,,,76.4
2016,пайыз,городское население,,,,81.3
2017,пайыз,городское население,,,,82.5
2018,пайыз,городское население,,,,84.1
2011,пайыз,сельское население,,,,38.6
2012,пайыз,сельское население,,,,47.2
2013,пайыз,сельское население,,,,51.2
2014,пайыз,сельское население,,,,52.7
2015,пайыз,сельское население,,,,68.3
2016,пайыз,сельское население,,,,70.9
2017,пайыз,сельское население,,,,73.9
2018,пайыз,сельское население,,,,77.5
2015,пайыз,,ерлер,,,73.0
2016,пайыз,,ерлер,,,77.5
2017,пайыз,,ерлер,,,79.0
2018,пайыз,,ерлер,,,81.6
2015,пайыз,,әйелдер,,,72.7
2016,пайыз,,әйелдер,,,76.2
2017,пайыз,,әйелдер,,,78.7
2018,пайыз,,әйелдер,,,81.1
2011,пайыз,,,Ақмола,KZ03,53.036663061968966
2012,пайыз,,,Ақмола,KZ03,70.25494713852554
2013,пайыз,,,Ақмола,KZ03,71.3
2014,пайыз,,,Ақмола,KZ03,72.0
2015,пайыз,,,Ақмола,KZ03,60.87720508246625
2016,пайыз,,,Ақмола,KZ03,70.0
2017,пайыз,,,Ақмола,KZ03,70.8
2018,пайыз,,,Ақмола,KZ03,73.8
2011,пайыз,,,Ақтөбе,KZ04,58.92850532674924
2012,пайыз,,,Ақтөбе,KZ04,72.90223910400472
2013,пайыз,,,Ақтөбе,KZ04,73.3
2014,пайыз,,,Ақтөбе,KZ04,73.0
2015,пайыз,,,Ақтөбе,KZ04,66.44451330706717
2016,пайыз,,,Ақтөбе,KZ04,77.7
2017,пайыз,,,Ақтөбе,KZ04,80.8
2018,пайыз,,,Ақтөбе,KZ04,81.1
2011,пайыз,,,Алматы,KZ01,47.62188460809092
2012,пайыз,,,Алматы,KZ01,51.84361247256735
2013,пайыз,,,Алматы,KZ01,52.4
2014,пайыз,,,Алматы,KZ01,54.5
2015,пайыз,,,Алматы,KZ01,81.16569074759364
2016,пайыз,,,Алматы,KZ01,81.4
2017,пайыз,,,Алматы,KZ01,84.5
2018,пайыз,,,Алматы,KZ01,85.3
2011,пайыз,,,Атырау,KZ06,62.420373125888396
2012,пайыз,,,Атырау,KZ06,73.68455305533746
2013,пайыз,,,Атырау,KZ06,74.0
2014,пайыз,,,Атырау,KZ06,74.3
