Year,Units,Ауытқу дәрежесі,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Жынысы,Аймақ,Өңірлер,Жасы,ана білімі,Квинтильді әл-ауқат индексі,үй шаруашылық басшысының ұлты,Value
2010,пайыз,қалыпты және қатал ауытқушылық,,,,,,,,,13.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,,,,,,8.0
2010,пайыз,нормадан күшті ауытқу,,,,,,,,,5.5
2015,пайыз,нормадан күшті ауытқу,,,,,,,,,2.4
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),всего,,,,,,,13.1
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),всего,,,,,,,8.0
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),ерлер,,,,,,,13.2
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),ерлер,,,,,,,7.7
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),әйелдер,,,,,,,13.0
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),әйелдер,,,,,,,8.3
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,городское население,,,,,,12.8
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,городское население,,,,,,7.2
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,сельское население,,,,,,13.4
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,сельское население,,,,,,8.9
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,0-5 месяцев,,,,10.7
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,0-5 месяцев,,,,5.0
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,6-11 месяцев,,,,13.8
