Year,Units,Өңірлер,GeoCode,Value
2010,100 мың тірі туылғанға,,,22.7
2011,100 мың тірі туылғанға,,,17.4
2012,100 мың тірі туылғанға,,,13.5
2013,100 мың тірі туылғанға,,,13.1
2014,100 мың тірі туылғанға,,,15.2
2015,100 мың тірі туылғанға,,,16.5
2016,100 мың тірі туылғанға,,,15.4
2017,100 мың тірі туылғанға,,,14.8
2018,100 мың тірі туылғанға,,,14.0
2011,100 мың тірі туылғанға,Ақмола,KZ03,23.3
2012,100 мың тірі туылғанға,Ақмола,KZ03,8.2
2013,100 мың тірі туылғанға,Ақмола,KZ03,25.4
2014,100 мың тірі туылғанға,Ақмола,KZ03,16.9
2015,100 мың тірі туылғанға,Ақмола,KZ03,25.9
2016,100 мың тірі туылғанға,Ақмола,KZ03,0.0
2017,100 мың тірі туылғанға,Ақмола,KZ03,17.8
2018,100 мың тірі туылғанға,Ақмола,KZ03,35.9
2010,100 мың тірі туылғанға,Ақтөбе,KZ04,34.5
2011,100 мың тірі туылғанға,Ақтөбе,KZ04,16.9
2013,100 мың тірі туылғанға,Ақтөбе,KZ04,21.3
2014,100 мың тірі туылғанға,Ақтөбе,KZ04,10.1
2015,100 мың тірі туылғанға,Ақтөбе,KZ04,15.0
2016,100 мың тірі туылғанға,Ақтөбе,KZ04,20.2
2017,100 мың тірі туылғанға,Ақтөбе,KZ04,5.3
2018,100 мың тірі туылғанға,Ақтөбе,KZ04,5.1
2010,100 мың тірі туылғанға,Алматы,KZ01,16.1
2011,100 мың тірі туылғанға,Алматы,KZ01,18.9
2012,100 мың тірі туылғанға,Алматы,KZ01,7.9
2013,100 мың тірі туылғанға,Алматы,KZ01,5.1
2014,100 мың тірі туылғанға,Алматы,KZ01,14.5
2015,100 мың тірі туылғанға,Алматы,KZ01,17.2
2016,100 мың тірі туылғанға,Алматы,KZ01,14.5
2017,100 мың тірі туылғанға,Алматы,KZ01,25.1
2018,100 мың тірі туылғанға,Алматы,KZ01,14.8
2010,100 мың тірі туылғанға,Атырау,KZ06,20.4
2011,100 мың тірі туылғанға,Атырау,KZ06,6.6
2012,100 мың тірі туылғанға,Атырау,KZ06,6.4
2013,100 мың тірі туылғанға,Атырау,KZ06,25.3
2014,100 мың тірі туылғанға,Атырау,KZ06,12.3
2015,100 мың тірі туылғанға,Атырау,KZ06,36.8
2016,100 мың тірі туылғанға,Атырау,KZ06,30.1
2017,100 мың тірі туылғанға,Атырау,KZ06,18.4
2018,100 мың тірі туылғанға,Атырау,KZ06,5.9
2010,100 мың тірі туылғанға,Батыс Қазақстан,KZ07,8.3
2013,100 мың тірі туылғанға,Батыс Қазақстан,KZ07,7.9
2014,100 мың тірі туылғанға,Батыс Қазақстан,KZ07,23.1
2015,100 мың тірі туылғанға,Батыс Қазақстан,KZ07,38.6
2016,100 мың тірі туылғанға,Батыс Қазақстан,KZ07,22.8
2017,100 мың тірі туылғанға,Батыс Қазақстан,KZ07,7.8
2018,100 мың тірі туылғанға,Батыс Қазақстан,KZ07,7.6
2010,100 мың тірі туылғанға,Жамбыл,KZ17,29.4
2011,100 мың тірі туылғанға,Жамбыл,KZ17,22.5
2012,100 мың тірі туылғанға,Жамбыл,KZ17,18.7
