Year,Units,Жынысы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,1000 туылғанға,ұлдар және қыздар,,,,,,,11.52
2011,1000 туылғанға,ұлдар және қыздар,,,,,,,9.8
2012,1000 туылғанға,ұлдар және қыздар,,,,,,,9.03
2013,1000 туылғанға,ұлдар және қыздар,,,,,,,7.13
2014,1000 туылғанға,ұлдар және қыздар,,,,,,,5.89
2015,1000 туылғанға,ұлдар және қыздар,,,,,,,5.61
2016,1000 туылғанға,ұлдар және қыздар,,,,,,,5.16
2017,1000 туылғанға,ұлдар және қыздар,,,,,,,4.61
2018,1000 туылғанға,ұлдар және қыздар,,,,,,,4.58
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,9.65
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,10.02
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,6.92
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,8.09
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,5.62
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,4.18
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,3.92
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,3.82
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,3.38
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,12.11
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,7.2
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,8.73
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,7.46
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,5.76
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,6.06
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,5.51
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,4.39
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,5.15
2010,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,8.59
2011,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,7.86
2012,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,7.51
2013,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,5.61
2014,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,5.2
2015,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,5.07
2016,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,4.58
2017,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,4.68
2018,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,4.15
2010,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,11.84
2011,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,11.75
2012,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,11.55
2013,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,5.73
2014,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,4.64
2015,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,4.75
2016,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,4.84
2017,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,4.38
2018,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,6.05
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,9.96
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,8.83
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,7.08
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,5.34
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,5.6
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,4.86
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,5.16
