Year,Units,Өңірлер,Аймақ,Жынысы,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,100 000 халыққа,,,,,,,,22.26
2011,100 000 халыққа,,,,,,,,20.8
2012,100 000 халыққа,,,,,,,,19.68
2013,100 000 халыққа,,,,,,,,20.67
2014,100 000 халыққа,,,,,,,,18.1
2015,100 000 халыққа,,,,,,,,16.52
2016,100 000 халыққа,,,,,,,,14.47
2017,100 000 халыққа,,,,,,,,14.77
2018,100 000 халыққа,,,,,,,,13.65
2010,100 000 халыққа,Ақмола,,,,,,KZ03,44.13
2011,100 000 халыққа,Ақмола,,,,,,KZ03,34.96
2012,100 000 халыққа,Ақмола,,,,,,KZ03,35.24
2013,100 000 халыққа,Ақмола,,,,,,KZ03,37.05
2014,100 000 халыққа,Ақмола,,,,,,KZ03,36.54
2015,100 000 халыққа,Ақмола,,,,,,KZ03,33.9
2016,100 000 халыққа,Ақмола,,,,,,KZ03,27.18
2017,100 000 халыққа,Ақмола,,,,,,KZ03,34.34
2018,100 000 халыққа,Ақмола,,,,,,KZ03,25.58
2010,100 000 халыққа,Ақтөбе,,,,,,KZ04,18.56
2011,100 000 халыққа,Ақтөбе,,,,,,KZ04,17.39
2012,100 000 халыққа,Ақтөбе,,,,,,KZ04,21.49
2013,100 000 халыққа,Ақтөбе,,,,,,KZ04,20.94
2014,100 000 халыққа,Ақтөбе,,,,,,KZ04,18.14
2015,100 000 халыққа,Ақтөбе,,,,,,KZ04,20.39
2016,100 000 халыққа,Ақтөбе,,,,,,KZ04,17.73
2017,100 000 халыққа,Ақтөбе,,,,,,KZ04,14.91
2018,100 000 халыққа,Ақтөбе,,,,,,KZ04,14.94
2010,100 000 халыққа,Алматы,,,,,,KZ01,21.52
2011,100 000 халыққа,Алматы,,,,,,KZ01,20.47
2012,100 000 халыққа,Алматы,,,,,,KZ01,21.11
2013,100 000 халыққа,Алматы,,,,,,KZ01,22.28
2014,100 000 халыққа,Алматы,,,,,,KZ01,21.44
2015,100 000 халыққа,Алматы,,,,,,KZ01,17.37
2016,100 000 халыққа,Алматы,,,,,,KZ01,16.54
2017,100 000 халыққа,Алматы,,,,,,KZ01,18.9
2018,100 000 халыққа,Алматы,,,,,,KZ01,15.19
2010,100 000 халыққа,Атырау,,,,,,KZ06,17.66
2011,100 000 халыққа,Атырау,,,,,,KZ06,13.4
2012,100 000 халыққа,Атырау,,,,,,KZ06,17.48
2013,100 000 халыққа,Атырау,,,,,,KZ06,19.77
2014,100 000 халыққа,Атырау,,,,,,KZ06,16.01
2015,100 000 халыққа,Атырау,,,,,,KZ06,18.37
2016,100 000 халыққа,Атырау,,,,,,KZ06,13.98
2017,100 000 халыққа,Атырау,,,,,,KZ06,13.03
