Year,Units,Аймақ,Жынысы,Өңірлер,Жасы,Білім беру,Квинтиль индекса благосостояния,ұлты,GeoCode,Value
2010,пайыз,,,,,,,,,81.6
2015,пайыз,,,,,,,,,90.8
2010,пайыз,городская местность,,,,,,,,85.0
2015,пайыз,городская местность,,,,,,,,90.6
2010,пайыз,сельская местность,,,,,,,,78.0
2015,пайыз,сельская местность,,,,,,,,90.9
2010,пайыз,,ерлер,,,,,,,80.0
2015,пайыз,,ерлер,,,,,,,91.1
2010,пайыз,,әйелдер,,,,,,,82.0
2015,пайыз,,әйелдер,,,,,,,90.4
2010,пайыз,,,Ақмола,,,,,KZ03,90.0
2015,пайыз,,,Ақмола,,,,,KZ03,98.8
2010,пайыз,,,Ақтөбе,,,,,KZ04,96.0
2015,пайыз,,,Ақтөбе,,,,,KZ04,100.0
2010,пайыз,,,Алматы,,,,,KZ01,81.0
2015,пайыз,,,Алматы,,,,,KZ01,82.4
2010,пайыз,,,Атырау,,,,,KZ06,83.0
2015,пайыз,,,Атырау,,,,,KZ06,98.5
2010,пайыз,,,Батыс Қазақстан,,,,,KZ07,98.0
2015,пайыз,,,Батыс Қазақстан,,,,,KZ07,100.0
2010,пайыз,,,Жамбыл,,,,,KZ17,83.0
2015,пайыз,,,Жамбыл,,,,,KZ17,92.0
2010,пайыз,,,Қарағанды,,,,,KZ12,75.0
2015,пайыз,,,Қарағанды,,,,,KZ12,94.0
2010,пайыз,,,Қостанай,,,,,KZ13,83.0
2015,пайыз,,,Қостанай,,,,,KZ13,100.0
2010,пайыз,,,Қызылорда,,,,,KZ14,67.0
2015,пайыз,,,Қызылорда,,,,,KZ14,69.6
2010,пайыз,,,Маңғыстау,,,,,KZ09,66.0
2015,пайыз,,,Маңғыстау,,,,,KZ09,100.0
2010,пайыз,,,Оңтүстік Қазақстан,,,,,KZ10,70.0
2015,пайыз,,,Оңтүстік Қазақстан,,,,,KZ10,87.4
2010,пайыз,,,Павлодар,,,,,KZ11,95.0
2015,пайыз,,,Павлодар,,,,,KZ11,95.0
2010,пайыз,,,Солтүстік Қазақстан,,,,,KZ16,84.0
2015,пайыз,,,Солтүстік Қазақстан,,,,,KZ16,94.9
2010,пайыз,,,Шығыс Қазақстан,,,,,KZ15,80.0
2015,пайыз,,,Шығыс Қазақстан,,,,,KZ15,96.6
2010,пайыз,,,Нұр-Сұлтан қаласы,,,,,KZ05,93.0
2015,пайыз,,,Нұр-Сұлтан қаласы,,,,,KZ05,100.0
2010,пайыз,,,Алматы қаласы,,,,,KZ02,97.0
2015,пайыз,,,Алматы қаласы,,,,,KZ02,58.4
2015,пайыз,,,,6 жас,,,,,89.8
2015,пайыз,,,,7 жастан асқан,,,,,92.1
2010,пайыз,,,,,негізгі орта,,,,77.1
2015,пайыз,,,,,негізгі орта,,,,95.5
2015,пайыз,,,,,жалпы орта,,,,83.2
2010,пайыз,,,,,техникалық және кәсіби,,,,83.0
2015,пайыз,,,,,техникалық және кәсіби,,,,92.0
2010,пайыз,,,,,жоғары,,,,85.0
2015,пайыз,,,,,жоғары,,,,94.6
2010,пайыз,,,,,жауап бермеген,ең кедей,,,71.0
2015,пайыз,,,,,жауап бермеген,ең кедей,,,88.3
2010,пайыз,,,,,жауап бермеген,екінші,,,78.0
2015,пайыз,,,,,жауап бермеген,екінші,,,87.2
2010,пайыз,,,,,жауап бермеген,орташа,,,83.0
2015,пайыз,,,,,жауап бермеген,орташа,,,89.4
2010,пайыз,,,,,жауап бермеген,төртінші,,,86.0
2015,пайыз,,,,,жауап бермеген,төртінші,,,93.5
2010,пайыз,,,,,жауап бермеген,ең бай,,,91.0
2015,пайыз,,,,,жауап бермеген,ең бай,,,96.7
2010,пайыз,,,,,,,Қазақтар,,79.0
2015,пайыз,,,,,,,Қазақтар,,92.3
2010,пайыз,,,,,,,Орыстар,,86.0
2015,пайыз,,,,,,,Орыстар,,95.6
2010,пайыз,,,,,,,басқа,,87.0
2015,пайыз,,,,,,,басқа,,79.9
