Year,Units,Жынысы,Өңірлер,Value
2015,пайыз,,,99.81213409838932
2015,пайыз,ұлдар,,100.0
2015,пайыз,қыздар,,95.54547647768395
2015,пайыз,,Ақмола,100.0
2015,пайыз,,Ақтөбе,100.0
2015,пайыз,,Алматы,97.8
2015,пайыз,,Атырау,100.0
2015,пайыз,,Батыс Қазақстан,100.0
2015,пайыз,,Жамбыл,100.0
2015,пайыз,,Қарағанды,100.0
2015,пайыз,,Қостанай,100.0
2015,пайыз,,Қызылорда,100.0
2015,пайыз,,Маңғыстау,100.0
2015,пайыз,,Оңтүстік Қазақстан,99.5
2015,пайыз,,Павлодар,100.0
2015,пайыз,,Солтүстік Қазақстан,100.0
2015,пайыз,,Шығыс Қазақстан,100.0
2015,пайыз,,Нұр-Сұлтан қаласы,99.7
2015,пайыз,,Алматы қаласы,99.8
2015,пайыз,ұлдар,Ақмола,100.0
2015,пайыз,қыздар,Ақмола,100.0
2015,пайыз,ұлдар,Ақтөбе,100.0
2015,пайыз,қыздар,Ақтөбе,100.0
2015,пайыз,ұлдар,Алматы,97.94669047315394
2015,пайыз,қыздар,Алматы,97.69844146429865
2015,пайыз,ұлдар,Атырау,100.0
2015,пайыз,қыздар,Атырау,100.0
2015,пайыз,ұлдар,Батыс Қазақстан,100.0
2015,пайыз,қыздар,Батыс Қазақстан,100.0
2015,пайыз,ұлдар,Жамбыл,100.0
2015,пайыз,қыздар,Жамбыл,100.0
2015,пайыз,ұлдар,Қарағанды,100.0
2015,пайыз,қыздар,Қарағанды,100.0
2015,пайыз,ұлдар,Қостанай,100.0
2015,пайыз,қыздар,Қостанай,100.0
2015,пайыз,ұлдар,Қызылорда,100.0
2015,пайыз,қыздар,Қызылорда,100.0
2015,пайыз,ұлдар,Маңғыстау,100.0
2015,пайыз,қыздар,Маңғыстау,100.0
2015,пайыз,ұлдар,Оңтүстік Қазақстан,99.03708400854882
2015,пайыз,қыздар,Оңтүстік Қазақстан,100.0
2015,пайыз,ұлдар,Павлодар,100.0
2015,пайыз,қыздар,Павлодар,100.0
2015,пайыз,ұлдар,Солтүстік Қазақстан,100.0
2015,пайыз,қыздар,Солтүстік Қазақстан,100.0
2015,пайыз,ұлдар,Шығыс Қазақстан,100.0
2015,пайыз,қыздар,Шығыс Қазақстан,100.0
2015,пайыз,ұлдар,Нұр-Сұлтан қаласы,100.0
2015,пайыз,қыздар,Нұр-Сұлтан қаласы,82.83477036776353
2015,пайыз,ұлдар,Алматы қаласы,100.0
2015,пайыз,қыздар,Алматы қаласы,93.84175167952226
2016,пайыз,,,95.85777639042871
2016,пайыз,ұлдар,,98.77800407331976
2016,пайыз,қыздар,,92.88182559087204
2016,пайыз,,Ақмола,100.0
2016,пайыз,,Ақтөбе,100.0
2016,пайыз,,Алматы,100.0
2016,пайыз,,Атырау,100.0
2016,пайыз,,Батыс Қазақстан,100.0
2016,пайыз,,Жамбыл,100.0
2016,пайыз,,Қарағанды,96.8
2016,пайыз,,Қостанай,100.0
2016,пайыз,,Қызылорда,100.0
2016,пайыз,,Маңғыстау,100.0
2016,пайыз,,Оңтүстік Қазақстан,88.1
2016,пайыз,,Павлодар,100.0
2016,пайыз,,Солтүстік Қазақстан,100.0
2016,пайыз,,Шығыс Қазақстан,100.0
2016,пайыз,,Нұр-Сұлтан қаласы,84.9
2016,пайыз,,Алматы қаласы,89.5
2016,пайыз,ұлдар,Ақмола,100.0
2016,пайыз,қыздар,Ақмола,100.0
2016,пайыз,ұлдар,Ақтөбе,100.0
2016,пайыз,қыздар,Ақтөбе,100.0
2016,пайыз,ұлдар,Алматы,100.0
2016,пайыз,қыздар,Алматы,100.0
2016,пайыз,ұлдар,Атырау,100.0
2016,пайыз,қыздар,Атырау,100.0
2016,пайыз,ұлдар,Батыс Қазақстан,100.0
2016,пайыз,қыздар,Батыс Қазақстан,100.0
2016,пайыз,ұлдар,Жамбыл,100.0
2016,пайыз,қыздар,Жамбыл,100.0
2016,пайыз,ұлдар,Қарағанды,97.24794020215748
2016,пайыз,қыздар,Қарағанды,96.27645560727144
2016,пайыз,ұлдар,Қостанай,100.0
2016,пайыз,қыздар,Қостанай,100.0
2016,пайыз,ұлдар,Қызылорда,100.0
2016,пайыз,қыздар,Қызылорда,100.0
2016,пайыз,ұлдар,Маңғыстау,100.0
2016,пайыз,қыздар,Маңғыстау,100.0
2016,пайыз,ұлдар,Оңтүстік Қазақстан,85.98361780991169
2016,пайыз,қыздар,Оңтүстік Қазақстан,90.45462462985545
2016,пайыз,ұлдар,Павлодар,100.0
2016,пайыз,қыздар,Павлодар,100.0
2016,пайыз,ұлдар,Солтүстік Қазақстан,100.0
2016,пайыз,қыздар,Солтүстік Қазақстан,100.0
2016,пайыз,ұлдар,Шығыс Қазақстан,100.0
2016,пайыз,қыздар,Шығыс Қазақстан,100.0
2016,пайыз,ұлдар,Нұр-Сұлтан қаласы,92.79301438937401
2016,пайыз,қыздар,Нұр-Сұлтан қаласы,77.94717629375134
2016,пайыз,ұлдар,Алматы қаласы,97.80531260123095
2016,пайыз,қыздар,Алматы қаласы,81.96733372572102
2017,пайыз,,,99.19755003760682
2017,пайыз,ұлдар,,99.7766105174183
2017,пайыз,қыздар,,98.59434698979565
2017,пайыз,,Ақмола,100.0
2017,пайыз,,Ақтөбе,100.0
2017,пайыз,,Алматы,100.0
2017,пайыз,,Атырау,100.0
2017,пайыз,,Батыс Қазақстан,100.0
2017,пайыз,,Жамбыл,100.0
2017,пайыз,,Қарағанды,100.0
2017,пайыз,,Қостанай,100.0
2017,пайыз,,Қызылорда,100.0
2017,пайыз,,Маңғыстау,100.0
2017,пайыз,,Оңтүстік Қазақстан,100.0
2017,пайыз,,Павлодар,100.0
2017,пайыз,,Солтүстік Қазақстан,96.1
2017,пайыз,,Шығыс Қазақстан,100.0
2017,пайыз,,Нұр-Сұлтан қаласы,89.3
2017,пайыз,,Алматы қаласы,95.4
2017,пайыз,ұлдар,Ақмола,100.0
2017,пайыз,қыздар,Ақмола,100.0
2017,пайыз,ұлдар,Ақтөбе,100.0
2017,пайыз,қыздар,Ақтөбе,100.0
2017,пайыз,ұлдар,Алматы,100.0
2017,пайыз,қыздар,Алматы,100.0
2017,пайыз,ұлдар,Атырау,100.0
2017,пайыз,қыздар,Атырау,100.0
2017,пайыз,ұлдар,Батыс Қазақстан,100.0
2017,пайыз,қыздар,Батыс Қазақстан,100.0
2017,пайыз,ұлдар,Жамбыл,100.0
2017,пайыз,қыздар,Жамбыл,100.0
2017,пайыз,ұлдар,Қарағанды,100.0
2017,пайыз,қыздар,Қарағанды,100.0
2017,пайыз,ұлдар,Қостанай,100.0
2017,пайыз,қыздар,Қостанай,100.0
2017,пайыз,ұлдар,Қызылорда,100.0
2017,пайыз,қыздар,Қызылорда,100.0
2017,пайыз,ұлдар,Маңғыстау,100.0
2017,пайыз,қыздар,Маңғыстау,100.0
2017,пайыз,ұлдар,Оңтүстік Қазақстан,100.0
2017,пайыз,қыздар,Оңтүстік Қазақстан,100.0
2017,пайыз,ұлдар,Павлодар,100.0
2017,пайыз,қыздар,Павлодар,100.0
2017,пайыз,ұлдар,Солтүстік Қазақстан,93.96976090014064
2017,пайыз,қыздар,Солтүстік Қазақстан,98.4793917567027
2017,пайыз,ұлдар,Шығыс Қазақстан,100.0
2017,пайыз,қыздар,Шығыс Қазақстан,100.0
