Year,Units,Өңірлер,Value
2017,пайыз,,77.1
2018,пайыз,,79.6
2017,пайыз,Ақмола,67.4
2018,пайыз,Ақмола,68.9
2017,пайыз,Ақтөбе,78.0
2018,пайыз,Ақтөбе,78.0
2017,пайыз,Алматы,84.9
2018,пайыз,Алматы,86.7
2017,пайыз,Атырау,79.8
2018,пайыз,Атырау,81.2
2017,пайыз,Батыс Қазақстан,75.7
2018,пайыз,Батыс Қазақстан,76.4
2017,пайыз,Жамбыл,61.0
2018,пайыз,Жамбыл,78.2
2017,пайыз,Қарағанды,70.5
2018,пайыз,Қарағанды,70.6
2017,пайыз,Қостанай,80.4
2018,пайыз,Қостанай,80.8
2017,пайыз,Қызылорда,71.8
2018,пайыз,Қызылорда,78.6
2017,пайыз,Маңғыстау,78.0
2018,пайыз,Маңғыстау,78.1
2017,пайыз,Павлодар,79.6
2018,пайыз,Павлодар,79.6
2017,пайыз,Солтүстік Қазақстан,74.6
2018,пайыз,Солтүстік Қазақстан,74.8
2017,пайыз,Түркістан,76.8
2018,пайыз,Түркістан,76.9
2017,пайыз,Шығыс Қазақстан,77.4
2018,пайыз,Шығыс Қазақстан,77.8
2017,пайыз,Нұр-Сұлтан қаласы,83.8
2018,пайыз,Нұр-Сұлтан қаласы,85.4
2017,пайыз,Алматы қаласы,81.6
2018,пайыз,Алматы қаласы,87.2
2017,пайыз,Шымкент қаласы,80.1
2018,пайыз,Шымкент қаласы,80.8
