Year,Units,Өндірістік жарақат,Value
2010,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.48
2011,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.47
2012,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.45
2013,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.42
2014,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.39
2015,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.33
2016,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.32
2017,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.29
2018,1000 қызметкерлерге,Өндірістік жарақаттану деңгейі,0.25
2010,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.08
2011,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.07
2012,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.06
2013,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.06
2014,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.06
2015,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.05
2016,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.05
2017,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.04
2018,1000 қызметкерлерге,Өлімге әкелетін өндірістік жарақаттың деңгейі,0.03
