Year,Units,Өңірлер,Value
2010,человек на 1 000 000 жителей,,666.0
2010,человек на 1 000 000 жителей,Ақмола,403.0
2010,человек на 1 000 000 жителей,Ақтөбе,151.0
2010,человек на 1 000 000 жителей,Алматы,216.0
2010,человек на 1 000 000 жителей,Атырау,741.0
2010,человек на 1 000 000 жителей,Батыс Қазақстан,488.0
2010,человек на 1 000 000 жителей,Жамбыл,183.0
2010,человек на 1 000 000 жителей,Қарағанды,482.0
2010,человек на 1 000 000 жителей,Қостанай,231.0
2010,человек на 1 000 000 жителей,Қызылорда,78.0
2010,человек на 1 000 000 жителей,Маңғыстау,728.0
2010,человек на 1 000 000 жителей,Оңтүстік Қазақстан,113.0
2010,человек на 1 000 000 жителей,Павлодар,169.0
2010,человек на 1 000 000 жителей,Солтүстік Қазақстан,123.0
2010,человек на 1 000 000 жителей,Шығыс Қазақстан,525.0
2010,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,1647.0
2010,человек на 1 000 000 жителей,Алматы қаласы,3973.0
2011,человек на 1 000 000 жителей,,694.0
2011,человек на 1 000 000 жителей,Ақмола,679.0
2011,человек на 1 000 000 жителей,Ақтөбе,146.0
2011,человек на 1 000 000 жителей,Алматы,257.0
2011,человек на 1 000 000 жителей,Атырау,785.0
2011,человек на 1 000 000 жителей,Батыс Қазақстан,469.0
2011,человек на 1 000 000 жителей,Жамбыл,88.0
2011,человек на 1 000 000 жителей,Қарағанды,409.0
2011,человек на 1 000 000 жителей,Қостанай,152.0
2011,человек на 1 000 000 жителей,Қызылорда,79.0
2011,человек на 1 000 000 жителей,Маңғыстау,768.0
2011,человек на 1 000 000 жителей,Оңтүстік Қазақстан,177.0
2011,человек на 1 000 000 жителей,Павлодар,260.0
2011,человек на 1 000 000 жителей,Солтүстік Қазақстан,85.0
2011,человек на 1 000 000 жителей,Шығыс Қазақстан,521.0
2011,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,1714.0
2011,человек на 1 000 000 жителей,Алматы қаласы,4031.0
2012,человек на 1 000 000 жителей,,611.0
2012,человек на 1 000 000 жителей,Ақмола,722.0
2012,человек на 1 000 000 жителей,Ақтөбе,115.0
2012,человек на 1 000 000 жителей,Алматы,109.0
2012,человек на 1 000 000 жителей,Атырау,739.0
2012,человек на 1 000 000 жителей,Батыс Қазақстан,179.0
2012,человек на 1 000 000 жителей,Жамбыл,156.0
2012,человек на 1 000 000 жителей,Қарағанды,604.0
2012,человек на 1 000 000 жителей,Қостанай,124.0
2012,человек на 1 000 000 жителей,Қызылорда,76.0
2012,человек на 1 000 000 жителей,Маңғыстау,665.0
2012,человек на 1 000 000 жителей,Оңтүстік Қазақстан,166.0
2012,человек на 1 000 000 жителей,Павлодар,231.0
2012,человек на 1 000 000 жителей,Солтүстік Қазақстан,206.0
2012,человек на 1 000 000 жителей,Шығыс Қазақстан,489.0
2012,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,3111.0
2012,человек на 1 000 000 жителей,Алматы қаласы,2472.0
2013,человек на 1 000 000 жителей,,737.0
2013,человек на 1 000 000 жителей,Ақмола,698.0
2013,человек на 1 000 000 жителей,Ақтөбе,162.0
2013,человек на 1 000 000 жителей,Алматы,211.0
2013,человек на 1 000 000 жителей,Атырау,531.0
2013,человек на 1 000 000 жителей,Батыс Қазақстан,391.0
2013,человек на 1 000 000 жителей,Жамбыл,142.0
2013,человек на 1 000 000 жителей,Қарағанды,398.0
2013,человек на 1 000 000 жителей,Қостанай,187.0
2013,человек на 1 000 000 жителей,Қызылорда,135.0
2013,человек на 1 000 000 жителей,Маңғыстау,786.0
2013,человек на 1 000 000 жителей,Оңтүстік Қазақстан,286.0
2013,человек на 1 000 000 жителей,Павлодар,439.0
2013,человек на 1 000 000 жителей,Солтүстік Қазақстан,226.0
2013,человек на 1 000 000 жителей,Шығыс Қазақстан,604.0
2013,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,2044.0
2013,человек на 1 000 000 жителей,Алматы қаласы,3703.0
2014,человек на 1 000 000 жителей,,799.0
2014,человек на 1 000 000 жителей,Ақмола,462.0
2014,человек на 1 000 000 жителей,Ақтөбе,200.0
2014,человек на 1 000 000 жителей,Алматы,213.0
2014,человек на 1 000 000 жителей,Атырау,484.0
2014,человек на 1 000 000 жителей,Батыс Қазақстан,159.0
2014,человек на 1 000 000 жителей,Жамбыл,161.0
2014,человек на 1 000 000 жителей,Қарағанды,569.0
2014,человек на 1 000 000 жителей,Қостанай,200.0
2014,человек на 1 000 000 жителей,Қызылорда,171.0
2014,человек на 1 000 000 жителей,Маңғыстау,782.0
2014,человек на 1 000 000 жителей,Оңтүстік Қазақстан,245.0
2014,человек на 1 000 000 жителей,Павлодар,388.0
2014,человек на 1 000 000 жителей,Солтүстік Қазақстан,214.0
2014,человек на 1 000 000 жителей,Шығыс Қазақстан,560.0
2014,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,2557.0
2014,человек на 1 000 000 жителей,Алматы қаласы,4556.0
2015,человек на 1 000 000 жителей,,778.0
2015,человек на 1 000 000 жителей,Ақмола,522.0
2015,человек на 1 000 000 жителей,Ақтөбе,213.0
2015,человек на 1 000 000 жителей,Алматы,333.0
2015,человек на 1 000 000 жителей,Атырау,530.0
2015,человек на 1 000 000 жителей,Батыс Қазақстан,370.0
2015,человек на 1 000 000 жителей,Жамбыл,195.0
2015,человек на 1 000 000 жителей,Қарағанды,616.0
2015,человек на 1 000 000 жителей,Қостанай,225.0
2015,человек на 1 000 000 жителей,Қызылорда,111.0
2015,человек на 1 000 000 жителей,Маңғыстау,850.0
2015,человек на 1 000 000 жителей,Оңтүстік Қазақстан,232.0
2015,человек на 1 000 000 жителей,Павлодар,337.0
2015,человек на 1 000 000 жителей,Солтүстік Қазақстан,158.0
2015,человек на 1 000 000 жителей,Шығыс Қазақстан,612.0
2015,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,2475.0
2015,человек на 1 000 000 жителей,Алматы қаласы,3823.0
2016,человек на 1 000 000 жителей,,695.0
2016,человек на 1 000 000 жителей,Ақмола,514.0
2016,человек на 1 000 000 жителей,Ақтөбе,200.0
2016,человек на 1 000 000 жителей,Алматы,261.0
2016,человек на 1 000 000 жителей,Атырау,442.0
2016,человек на 1 000 000 жителей,Батыс Қазақстан,614.0
2016,человек на 1 000 000 жителей,Жамбыл,180.0
2016,человек на 1 000 000 жителей,Қарағанды,386.0
2016,человек на 1 000 000 жителей,Қостанай,205.0
2016,человек на 1 000 000 жителей,Қызылорда,118.0
2016,человек на 1 000 000 жителей,Маңғыстау,892.0
2016,человек на 1 000 000 жителей,Оңтүстік Қазақстан,185.0
2016,человек на 1 000 000 жителей,Павлодар,421.0
2016,человек на 1 000 000 жителей,Солтүстік Қазақстан,116.0
2016,человек на 1 000 000 жителей,Шығыс Қазақстан,604.0
2016,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,2191.0
2016,человек на 1 000 000 жителей,Алматы қаласы,3275.0
2017,человек на 1 000 000 жителей,,668.0
2017,человек на 1 000 000 жителей,Ақмола,562.0
2017,человек на 1 000 000 жителей,Ақтөбе,201.0
2017,человек на 1 000 000 жителей,Алматы,220.0
2017,человек на 1 000 000 жителей,Атырау,504.0
2017,человек на 1 000 000 жителей,Батыс Қазақстан,324.0
2017,человек на 1 000 000 жителей,Жамбыл,181.0
2017,человек на 1 000 000 жителей,Қарағанды,490.0
2017,человек на 1 000 000 жителей,Қостанай,197.0
2017,человек на 1 000 000 жителей,Қызылорда,114.0
2017,человек на 1 000 000 жителей,Маңғыстау,880.0
2017,человек на 1 000 000 жителей,Оңтүстік Қазақстан,178.0
2017,человек на 1 000 000 жителей,Павлодар,337.0
2017,человек на 1 000 000 жителей,Солтүстік Қазақстан,76.0
2017,человек на 1 000 000 жителей,Шығыс Қазақстан,604.0
2017,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,2007.0
