Year,Units,Ресми даму бойынша көмек,Value
2010,млн.АҚШ доллар,Қазақстан-алушы,1094.8
2011,млн.АҚШ доллар,Қазақстан-алушы,1041.6
2012,млн.АҚШ доллар,Қазақстан-алушы,787.3
2013,млн.АҚШ доллар,Қазақстан-алушы,860.4
2014,млн.АҚШ доллар,Қазақстан-алушы,1144.9
2015,млн.АҚШ доллар,Қазақстан-алушы,586.0
2016,млн.АҚШ доллар,Қазақстан-алушы,1382.7
2017,млн.АҚШ доллар,Қазақстан-алушы,386.0
2013,млн.АҚШ доллар,Қазақстан-донор,0.07
2014,млн.АҚШ доллар,Қазақстан-донор,0.17
2015,млн.АҚШ доллар,Қазақстан-донор,0.66
2016,млн.АҚШ доллар,Қазақстан-донор,1.74
2017,млн.АҚШ доллар,Қазақстан-донор,0.11
