Year,Units,Value
2010,2010 жылғы бағаларда пайызбен,11.3
2011,2010 жылғы бағаларда пайызбен,11.3
2012,2010 жылғы бағаларда пайызбен,11.1
2013,2010 жылғы бағаларда пайызбен,10.8
2014,2010 жылғы бағаларда пайызбен,10.5
2015,2010 жылғы бағаларда пайызбен,10.4
2016,2010 жылғы бағаларда пайызбен,10.5
2017,2010 жылғы бағаларда пайызбен,11.3
2018,2010 жылғы бағаларда пайызбен,11.4
2010,"2010 жылғы бағаларда, АҚШ доллар",1027.0
2011,"2010 жылғы бағаларда, АҚШ доллар",1083.4
2012,"2010 жылғы бағаларда, АҚШ доллар",1100.9
2013,"2010 жылғы бағаларда, АҚШ доллар",1117.3
2014,"2010 жылғы бағаларда, АҚШ доллар",1118.4
2015,"2010 жылғы бағаларда, АҚШ доллар",1105.0
2016,"2010 жылғы бағаларда, АҚШ доллар",1109.1
2017,"2010 жылғы бағаларда, АҚШ доллар",1165.6
2018,"2010 жылғы бағаларда, АҚШ доллар",1201.5
