Year,Units,Официальная помощь для развития,Value
2010,млн.долларов США,Казахстан-получатель,52.8
2011,млн.долларов США,Казахстан-получатель,13.8
2012,млн.долларов США,Казахстан-получатель,3.4
2013,млн.долларов США,Казахстан-получатель,32.2
2014,млн.долларов США,Казахстан-получатель,6.1
2015,млн.долларов США,Казахстан-получатель,64.9
2016,млн.долларов США,Казахстан-получатель,4.0
2017,млн.долларов США,Казахстан-получатель,43.0
2016,млн.долларов США,Казахстан-донор,0.003
2017,млн.долларов США,Казахстан-донор,0.003
