Year,Units,Регионы,Value
2010,на 100 000 родившихся живыми,,22.7
2010,на 100 000 родившихся живыми,Актюбинская,34.5
2010,на 100 000 родившихся живыми,Алматинская,16.1
2010,на 100 000 родившихся живыми,Атырауская,20.4
2010,на 100 000 родившихся живыми,Западно-Казахстанская,8.3
2010,на 100 000 родившихся живыми,Жамбылская,29.4
2010,на 100 000 родившихся живыми,Карагандинская,4.2
2010,на 100 000 родившихся живыми,Костанайская,15.4
2010,на 100 000 родившихся живыми,Кызылординская,35.0
2010,на 100 000 родившихся живыми,Мангистауская,6.5
2010,на 100 000 родившихся живыми,Южно-Казахстанская,26.7
2010,на 100 000 родившихся живыми,Павлодарская,16.3
2010,на 100 000 родившихся живыми,Северо-Казахстанская,24.0
2010,на 100 000 родившихся живыми,Восточно-Казахстанская,21.5
2010,на 100 000 родившихся живыми,г.Нур-Султан,27.6
2010,на 100 000 родившихся живыми,г.Алматы,6.0
2011,на 100 000 родившихся живыми,,17.4
2011,на 100 000 родившихся живыми,Акмолинская,23.3
2011,на 100 000 родившихся живыми,Актюбинская,16.9
2011,на 100 000 родившихся живыми,Алматинская,18.9
2011,на 100 000 родившихся живыми,Атырауская,6.6
2011,на 100 000 родившихся живыми,Жамбылская,22.5
2011,на 100 000 родившихся живыми,Карагандинская,8.2
2011,на 100 000 родившихся живыми,Костанайская,15.7
2011,на 100 000 родившихся живыми,Кызылординская,10.4
2011,на 100 000 родившихся живыми,Мангистауская,24.7
2011,на 100 000 родившихся живыми,Южно-Казахстанская,16.8
2011,на 100 000 родившихся живыми,Павлодарская,7.8
2011,на 100 000 родившихся живыми,Восточно-Казахстанская,22.4
2011,на 100 000 родившихся живыми,г.Нур-Султан,10.4
2011,на 100 000 родившихся живыми,г.Алматы,15.5
2012,на 100 000 родившихся живыми,,13.5
2012,на 100 000 родившихся живыми,Акмолинская,8.2
2012,на 100 000 родившихся живыми,Алматинская,7.9
2012,на 100 000 родившихся живыми,Атырауская,6.4
2012,на 100 000 родившихся живыми,Жамбылская,18.7
2012,на 100 000 родившихся живыми,Карагандинская,16.2
2012,на 100 000 родившихся живыми,Кызылординская,15.0
2012,на 100 000 родившихся живыми,Мангистауская,5.9
2012,на 100 000 родившихся живыми,Южно-Казахстанская,20.6
2012,на 100 000 родившихся живыми,Павлодарская,15.5
2012,на 100 000 родившихся живыми,Северо-Казахстанская,12.2
2012,на 100 000 родившихся живыми,Восточно-Казахстанская,13.2
2012,на 100 000 родившихся живыми,г.Алматы,13.0
2013,на 100 000 родившихся живыми,,13.1
2013,на 100 000 родившихся живыми,Акмолинская,25.4
2013,на 100 000 родившихся живыми,Актюбинская,21.3
2013,на 100 000 родившихся живыми,Алматинская,5.1
2013,на 100 000 родившихся живыми,Атырауская,25.3
2013,на 100 000 родившихся живыми,Западно-Казахстанская,7.9
2013,на 100 000 родившихся живыми,Жамбылская,14.8
2013,на 100 000 родившихся живыми,Карагандинская,4.1
2013,на 100 000 родившихся живыми,Костанайская,15.3
2013,на 100 000 родившихся живыми,Кызылординская,10.6
2013,на 100 000 родившихся живыми,Мангистауская,11.0
2013,на 100 000 родившихся живыми,Южно-Казахстанская,10.2
2013,на 100 000 родившихся живыми,Павлодарская,15.4
2013,на 100 000 родившихся живыми,Северо-Казахстанская,12.5
2013,на 100 000 родившихся живыми,Восточно-Казахстанская,8.9
2013,на 100 000 родившихся живыми,г.Нур-Султан,17.7
2013,на 100 000 родившихся живыми,г.Алматы,10.2
2014,на 100 000 родившихся живыми,,15.209315082155198
2014,на 100 000 родившихся живыми,Акмолинская,16.939103921402562
2014,на 100 000 родившихся живыми,Актюбинская,10.105603557172454
2014,на 100 000 родившихся живыми,Алматинская,14.492753623188404
2014,на 100 000 родившихся живыми,Атырауская,12.295585884667403
2014,на 100 000 родившихся живыми,Западно-Казахстанская,23.09646624066518
2014,на 100 000 родившихся живыми,Жамбылская,18.113316910592673
2014,на 100 000 родившихся живыми,Карагандинская,16.0655474335288
2014,на 100 000 родившихся живыми,Костанайская,15.730690577316347
