Year,Units,Регионы,Местность,Пол,Value
2010,процент,,,,5.7
2010,процент,Акмолинская,,,6.2
2010,процент,Актюбинская,,,1.4
2010,процент,Алматинская,,,6.4
2010,процент,Атырауская,,,3.5
2010,процент,Западно-Казахстанская,,,8.3
2010,процент,Жамбылская,,,8.1
2010,процент,Карагандинская,,,6.9
2010,процент,Костанайская,,,4.2
2010,процент,Кызылординская,,,7.6
2010,процент,Мангистауская,,,8.3
2010,процент,Южно-Казахстанская,,,4.1
2010,процент,Павлодарская,,,3.3
2010,процент,Северо-Казахстанская,,,4.6
2010,процент,Восточно-Казахстанская,,,8.9
2010,процент,г.Нур-Султан,,,7.8
2010,процент,г.Алматы,,,3.8
2010,процент,,,мужчины,4.4
2010,процент,Акмолинская,,мужчины,6.5
2010,процент,Актюбинская,,мужчины,1.7
2010,процент,Алматинская,,мужчины,4.9
2010,процент,Атырауская,,мужчины,2.3
2010,процент,Западно-Казахстанская,,мужчины,7.9
2010,процент,Жамбылская,,мужчины,5.1
2010,процент,Карагандинская,,мужчины,3.8
2010,процент,Костанайская,,мужчины,3.8
2010,процент,Кызылординская,,мужчины,7.0
2010,процент,Мангистауская,,мужчины,6.9
2010,процент,Южно-Казахстанская,,мужчины,1.9
2010,процент,Павлодарская,,мужчины,2.7
2010,процент,Северо-Казахстанская,,мужчины,4.9
2010,процент,Восточно-Казахстанская,,мужчины,8.1
2010,процент,г.Нур-Султан,,мужчины,3.2
2010,процент,г.Алматы,,мужчины,3.0
2010,процент,,,женщины,7.1
2010,процент,Акмолинская,,женщины,6.0
2010,процент,Актюбинская,,женщины,1.1
2010,процент,Алматинская,,женщины,7.8
2010,процент,Атырауская,,женщины,4.8
2010,процент,Западно-Казахстанская,,женщины,8.6
2010,процент,Жамбылская,,женщины,11.4
2010,процент,Карагандинская,,женщины,10.1
2010,процент,Костанайская,,женщины,4.6
2010,процент,Кызылординская,,женщины,8.2
2010,процент,Мангистауская,,женщины,9.7
2010,процент,Южно-Казахстанская,,женщины,6.3
2010,процент,Павлодарская,,женщины,4.0
2010,процент,Северо-Казахстанская,,женщины,4.3
2010,процент,Восточно-Казахстанская,,женщины,9.7
2010,процент,г.Нур-Султан,,женщины,11.9
2010,процент,г.Алматы,,женщины,4.5
2010,процент,,Город,,5.7
2010,процент,Акмолинская,Город,,5.6
2010,процент,Актюбинская,Город,,2.3
2010,процент,Алматинская,Город,,5.8
2010,процент,Атырауская,Город,,3.4
