Year,Value,Units
2010,0.00145,пострадало на 100 000 человек
2011,0.00011999999999999999,пострадало на 100 000 человек
2012,0.0002,пострадало на 100 000 человек
2013,0.00011999999999999999,пострадало на 100 000 человек
2014,0.00018999999999999998,пострадало на 100 000 человек
2015,8e-05,пострадало на 100 000 человек
2016,8e-05,пострадало на 100 000 человек
2017,0.00035,пострадало на 100 000 человек
2018,8e-05,пострадало на 100 000 человек
2010,0.00053,погибло на 100 000 человек
2011,5e-05,погибло на 100 000 человек
2012,0.00015,погибло на 100 000 человек
2013,2.9999999999999997e-05,погибло на 100 000 человек
2014,9e-05,погибло на 100 000 человек
2015,0.0,погибло на 100 000 человек
2016,1e-05,погибло на 100 000 человек
2017,0.00011,погибло на 100 000 человек
2018,1e-05,погибло на 100 000 человек
