Year,Units,Официальная помощь для развития,Value
2010,млн.долл.США,Данные по Казахстану как получателю,948.3336852852381
2011,млн.долл.США,Данные по Казахстану как получателю,3166.77315094127
2012,млн.долл.США,Данные по Казахстану как получателю,932.5386766401759
2013,млн.долл.США,Данные по Казахстану как получателю,4586.09750106304
2013,млн.долл.США,Данные по Казахстану как донору,8.493426499999998
2014,млн.долл.США,Данные по Казахстану как получателю,1892.82510488443
2014,млн.долл.США,Данные по Казахстану как донору,33.36992678
2015,млн.долл.США,Данные по Казахстану как получателю,4429.69078324111
2015,млн.долл.США,Данные по Казахстану как донору,42.96085597
2016,млн.долл.США,Данные по Казахстану как получателю,419.480501109496
2016,млн.долл.США,Данные по Казахстану как донору,30.831706303141925
2017,млн.долл.США,Данные по Казахстану как получателю,-3835.71809166285
2017,млн.долл.США,Данные по Казахстану как донору,35.23269085394541
2018,млн.долл.США,Данные по Казахстану как донору,4035.0
