Year,Units,Регионы,Value
2010,тыс_тенге,,428.8
2010,тыс_тенге,Акмолинская,499.9
2010,тыс_тенге,Актюбинская,478.3
2010,тыс_тенге,Алматинская,387.2
2010,тыс_тенге,Атырауская,866.7
2010,тыс_тенге,Западно-Казахстанская,345.9
2010,тыс_тенге,Жамбылская,233.6
2010,тыс_тенге,Карагандинская,463.5
2010,тыс_тенге,Костанайская,712.3
2010,тыс_тенге,Кызылординская,656.3
2010,тыс_тенге,Мангистауская,691.7
2010,тыс_тенге,Южно-Казахстанская,241.1
2010,тыс_тенге,Павлодарская,473.6
2010,тыс_тенге,Северо-Казахстанская,630.8
2010,тыс_тенге,Восточно-Казахстанская,462.6
2010,тыс_тенге,г_Нур-Султан,453.7
2010,тыс_тенге,г_Алматы,250.6
2011,тыс_тенге,,641.6
2011,тыс_тенге,Акмолинская,1146.2
2011,тыс_тенге,Актюбинская,847.3
2011,тыс_тенге,Алматинская,431.0
2011,тыс_тенге,Атырауская,1172.5
2011,тыс_тенге,Западно-Казахстанская,487.3
2011,тыс_тенге,Жамбылская,314.5
2011,тыс_тенге,Карагандинская,594.5
2011,тыс_тенге,Костанайская,1214.0
2011,тыс_тенге,Кызылординская,646.7
2011,тыс_тенге,Мангистауская,1184.2
2011,тыс_тенге,Южно-Казахстанская,306.5
2011,тыс_тенге,Павлодарская,605.0
2011,тыс_тенге,Северо-Казахстанская,1337.1
2011,тыс_тенге,Восточно-Казахстанская,562.7
2011,тыс_тенге,г_Нур-Султан,1145.3
2011,тыс_тенге,г_Алматы,363.7
2012,тыс_тенге,,612.2
2012,тыс_тенге,Акмолинская,682.4
2012,тыс_тенге,Актюбинская,1035.1
2012,тыс_тенге,Алматинская,444.3
2012,тыс_тенге,Атырауская,2271.6
2012,тыс_тенге,Западно-Казахстанская,528.9
2012,тыс_тенге,Жамбылская,348.1
2012,тыс_тенге,Карагандинская,827.7
2012,тыс_тенге,Костанайская,615.7
2012,тыс_тенге,Кызылординская,1007.7
2012,тыс_тенге,Мангистауская,3586.9
2012,тыс_тенге,Южно-Казахстанская,379.2
2012,тыс_тенге,Павлодарская,594.6
2012,тыс_тенге,Северо-Казахстанская,1200.6
2012,тыс_тенге,Восточно-Казахстанская,903.5
2012,тыс_тенге,г_Нур-Султан,1044.9
2012,тыс_тенге,г_Алматы,147.7
2013,тыс_тенге,,781.9
2013,тыс_тенге,Акмолинская,1018.0
2013,тыс_тенге,Актюбинская,1465.2
2013,тыс_тенге,Алматинская,612.3
2013,тыс_тенге,Атырауская,4017.8
2013,тыс_тенге,Западно-Казахстанская,633.0
2013,тыс_тенге,Жамбылская,421.3
2013,тыс_тенге,Карагандинская,1147.9
2013,тыс_тенге,Костанайская,784.5
2013,тыс_тенге,Кызылординская,1047.8
2013,тыс_тенге,Мангистауская,2633.0
2013,тыс_тенге,Южно-Казахстанская,481.6
2013,тыс_тенге,Павлодарская,840.7
2013,тыс_тенге,Северо-Казахстанская,1254.4
2013,тыс_тенге,Восточно-Казахстанская,1078.9
2013,тыс_тенге,г_Нур-Султан,762.8
2013,тыс_тенге,г_Алматы,194.3
2014,тыс_тенге,,1070.2
2014,тыс_тенге,Акмолинская,1075.3
2014,тыс_тенге,Актюбинская,1910.7
2014,тыс_тенге,Алматинская,893.4
