Value,kk,en,Disaggregation combinations using this value,Number of indicators
Автомобильный,Автокөлік,Automobile,2,1
Внутренним водным,Ішкі су көлігімен,Inland water еransport,2,1
Воздушный,Әуе көлігі,Air,1,1
Воздушным,Әуе көлігімен,Air,1,1
Городской электрический,Қалалық электр көлігі,City electric transport,1,1
Железнодорожный,Темір жол көлігі,Railway,1,1
Железнодорожным транспортом,Темір жол көлігімен,Railway transport,1,1
Морским,Теңіз көлігімен,nautical,2,1
перевезено грузов автомобильным  и городским  электрическим транспортом,перевезено грузов автомобильным  и городским  электрическим транспортом,перевезено грузов автомобильным  и городским  электрическим транспортом,19,1
перевезено грузов воздушным транспортом,әуе көлікпен тасымалданған жүктер,transported by air,6,1
Перевезено грузов всеми видами транспорта,Көліктің барлық түрлерімен жүк тасымалдау,Cargo transported by all means of transport,1,1
Перевезено грузов с морским транспортом,Перевезено грузов с морским транспортом,Перевезено грузов с морским транспортом,2,1
перевезено пассажиров воздушным транспортом,әуе көлікпен тасымалданған жолаушылар,passengers transported by air,12,1
Перевезено пассажиров всеми видами транспорта,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Passengers transported by all means of transport,19,1
Перевезено пассажиров с морским транспортом,Перевезено пассажиров с морским транспортом,Перевезено пассажиров с морским транспортом,2,1
показатели работы трубопроводного транспорта,құбыр көлігінің жұмыс көрсеткіштері,performance indicators of pipeline transport,4,1
Трубопроводный,Құбыр жүргізетін көлікпен,Pipeline,1,1
