Value,kk,en,Disaggregation combinations using this value,Number of indicators
Hалог на транспортные средства,Көлiк құралдарына салынатын салық,Vehicle Tax,2,1
Hалоги на имущество,Меншiкке салынатын салықтар,Property Taxes,2,1
Акцизы,Акциздер,Excise taxes,2,1
ВВП,ЖІӨ,GDP,1,1
Государственная пошлина,Мемлекеттік баж,Government tariffs,2,1
Единый земельный налог,Бірыңғай жер салығы,Consolidated Land Tax,2,1
Земельный налог,Жер салығы,Land Taxes,2,1
Индивидуальный подоходный налог,Жеке табыс салығы,Individual Income Tax,2,1
Корпоративный подоходный налог,Корпорациялық табыс салығы,Corporate Income Tax,3,2
Налог на добавленную стоимость,Қосылған құн салығы,Value added tax,2,1
Налог на игорный бизнес,Ойын бизнесіне салық,Gambling tax,2,1
Налоги на международную торговлю и внешние операции,Халықаралық сауда мен сыртқы операцияларға салынатын салықтар,Taxes related to international trade and foreign operations,2,1
Налоговые поступления,Салықтық түсімдер,Tax income,1,1
Поступления за использование природных и других ресурсов,Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер,Royalties related to use of resources,3,2
Сборы за регистрацию,Тіркелген салық,Registration fees,2,1
Социальный налог,Әлеуметтік салық,Social Security Taxes,2,1
