Value,kk,en,Disaggregation combinations using this value,Number of indicators
Акмолинская,Ақмола,Akmola,273,71
Актюбинская,Ақтөбе,Aktobe,270,68
Алматинская,Алматы,Almaty,277,71
Атырауская,Атырау,Atyrau,270,68
Восточно-Казахстанская,Шығыс Қазақстан,Shygys Kazakhstan,278,71
г. Алматы,г. Алматы,г. Алматы,5,1
г. Нур-Султан,г. Нур-Султан,г. Нур-Султан,3,1
г.Алматы,Алматы қаласы,Almaty city,213,63
г.Нур-Султан,Нұр-Сұлтан қаласы,Nur-Sultan city,211,61
г.Шымкент,Шымкент қаласы,Shymkent city,175,49
Жамбылская,Жамбыл,Zhambyl,277,70
Жымбылская,Жымбылская,Жымбылская,1,1
Западно-Казахстанская,Батыс Қазақстан,Batys Kazakhstan,266,67
Карагандинская,Қарағанды,Karagandy,269,69
Костанайская,Қостанай,Kostanay,271,68
Кызылординская,Қызылорда,Kyzylorda,269,69
Мангистауская,Маңғыстау,Mangistau,268,68
"Объем, не распределенный по областям",Өңірлер бойынша таралмаған мөлшер,"Volume, not distributed by sectors",3,1
Павлодар,Павлодар,Павлодар,6,1
Павлодарская,Павлодар,Pavlodar,267,69
Северо-Казахстанская,Солтүстік Қазақстан,Soltustik Kazakhstan,276,71
Туркестанская,Түркістан,Turkistan,233,57
Южно-Казахстанская,Оңтүстік Қазақстан,Ontustik Kazakhstan,230,55
